Affymetrix ID,Gene,p.value.ASDvsControls ,FDR.ASDvsControls ,p.value.ASDvsControls.males,FDR.ASDvsControls.males,p.value.ASDvsControls.females,FDR.ASDvsControls.females,Two.way.ANOVA.p.Dx.,Two.way.ANOVA.p.Gender.,Two.way.ANOVA.p.Dx*Gender
7987361,ZNF770,4.57E-04,1.73E-02,8.36E-04,3.00E-02,1.53E-01,7.25E-01,1.85E-03,7.55E-01,7.31E-01
7893067,--,4.60E-04,1.73E-02,4.22E-03,3.13E-02,2.11E-02,6.45E-01,1.51E-03,3.22E-01,6.13E-01
8128133,LYRM2,4.64E-04,1.74E-02,5.33E-02,5.42E-02,5.58E-03,6.33E-01,8.05E-04,3.58E-01,7.79E-02
8169709,GLRX5,4.70E-04,1.76E-02,2.43E-01,1.27E-01,2.75E-03,6.06E-01,3.09E-04,8.45E-03,5.92E-03
8086515,--,4.71E-04,1.76E-02,1.45E-03,3.01E-02,1.80E-01,7.29E-01,1.41E-03,5.52E-01,8.34E-01
8127662,--,4.73E-04,1.76E-02,9.57E-03,3.37E-02,4.21E-02,6.61E-01,8.63E-04,4.73E-01,6.47E-01
7976515,GLRX5,4.75E-04,1.77E-02,2.21E-01,1.19E-01,2.45E-03,6.06E-01,4.35E-04,1.89E-02,5.10E-03
8002381,COG4,4.80E-04,1.78E-02,2.57E-03,3.12E-02,1.46E-01,7.23E-01,9.94E-04,4.38E-01,8.09E-01
8096411,TIGD2,4.82E-04,1.78E-02,2.22E-02,3.97E-02,5.26E-03,6.33E-01,7.11E-04,6.40E-01,2.17E-01
7957242,ATXN7L3B,4.86E-04,1.79E-02,1.66E-03,3.04E-02,1.65E-01,7.26E-01,1.64E-03,6.05E-01,8.07E-01
8036902,SERTAD1,4.86E-04,1.79E-02,3.23E-03,3.13E-02,4.64E-02,6.67E-01,9.20E-04,6.20E-01,8.94E-01
7915543,SLC6A9,4.90E-04,1.79E-02,1.47E-03,3.01E-02,2.22E-01,7.44E-01,2.22E-03,4.52E-01,6.53E-01
7940160,DTX4,4.91E-04,1.79E-02,6.06E-04,3.00E-02,6.27E-02,6.79E-01,2.74E-03,5.10E-02,9.29E-01
8137240,GIMAP7,4.93E-04,1.79E-02,7.48E-02,6.38E-02,9.26E-04,5.98E-01,7.93E-04,9.71E-01,2.56E-02
8017829,--,4.94E-04,1.79E-02,4.60E-03,3.13E-02,1.83E-02,6.44E-01,2.77E-03,4.65E-01,5.74E-01
7896483,--,4.94E-04,1.79E-02,3.07E-02,4.39E-02,2.36E-02,6.45E-01,8.49E-04,5.83E-02,2.60E-01
7895490,--,4.95E-04,1.79E-02,2.38E-04,2.75E-02,7.36E-01,8.56E-01,1.07E-03,9.16E-02,1.17E-01
7893816,--,4.96E-04,1.79E-02,3.19E-02,4.44E-02,1.36E-02,6.41E-01,1.22E-03,1.57E-01,1.74E-01
8039010,ZNF765,4.98E-04,1.79E-02,4.24E-02,4.92E-02,1.67E-02,6.41E-01,4.90E-04,9.24E-02,2.08E-01
8132465,HECW1,4.99E-04,1.79E-02,1.37E-03,3.00E-02,9.41E-03,6.35E-01,3.27E-03,2.12E-02,7.67E-01
8169009,BEX4,5.00E-04,1.79E-02,7.46E-03,3.28E-02,3.74E-02,6.59E-01,1.36E-03,7.45E-01,7.29E-01
7951447,CWF19L2,5.01E-04,1.79E-02,2.44E-02,4.08E-02,7.70E-03,6.35E-01,1.06E-03,9.45E-01,1.10E-01
8101828,TSPAN5,5.08E-04,1.81E-02,3.33E-01,1.57E-01,1.73E-03,5.98E-01,2.22E-04,5.47E-03,4.13E-03
8075585,C22orf28,5.10E-04,1.81E-02,1.52E-02,3.63E-02,2.26E-02,6.45E-01,1.36E-03,4.80E-01,2.86E-01
8003249,FBXO31,5.14E-04,1.83E-02,8.72E-04,3.00E-02,4.71E-01,8.07E-01,7.26E-04,1.08E-01,2.39E-01
7969096,CDADC1,5.17E-04,1.83E-02,8.46E-03,3.34E-02,3.34E-02,6.46E-01,1.21E-03,8.19E-01,6.02E-01
7961755,ST8SIA1,5.22E-04,1.84E-02,3.02E-03,3.13E-02,1.80E-01,7.30E-01,1.17E-03,1.31E-01,9.13E-01
8060379,PSMF1,5.26E-04,1.85E-02,1.29E-01,8.54E-02,1.19E-03,5.98E-01,3.33E-04,3.23E-01,3.94E-02
8175572,SPANXN3,5.27E-04,1.85E-02,4.32E-05,2.75E-02,9.16E-01,8.79E-01,9.99E-04,2.25E-01,2.85E-02
8139163,FAM183B,5.28E-04,1.85E-02,1.31E-02,3.53E-02,1.16E-02,6.35E-01,5.46E-04,5.33E-01,4.30E-01
7896157,--,5.28E-04,1.85E-02,9.30E-03,3.36E-02,3.36E-02,6.46E-01,1.75E-03,5.63E-01,6.09E-01
8027292,ZNF431,5.29E-04,1.85E-02,6.12E-03,3.15E-02,2.53E-02,6.45E-01,1.65E-03,6.81E-01,6.74E-01
7988342,--,5.31E-04,1.85E-02,3.98E-02,4.82E-02,3.62E-03,6.06E-01,6.03E-04,8.82E-01,1.96E-01
7894574,--,5.34E-04,1.85E-02,1.37E-03,3.00E-02,2.05E-01,7.40E-01,2.05E-03,7.24E-01,5.62E-01
7920707,FAM189B,5.35E-04,1.85E-02,2.11E-04,2.75E-02,2.40E-01,7.47E-01,2.41E-03,1.50E-01,4.12E-01
8005638,ALDH3A2,5.37E-04,1.85E-02,2.25E-03,3.11E-02,1.99E-01,7.38E-01,1.24E-03,2.26E-01,7.93E-01
8045171,IMP4,5.37E-04,1.85E-02,6.01E-03,3.15E-02,7.38E-02,6.93E-01,9.60E-04,5.41E-01,9.44E-01
8167790,TSR2,5.38E-04,1.85E-02,1.04E-02,3.42E-02,4.42E-02,6.66E-01,1.24E-03,4.35E-01,4.72E-01
7927669,TFAM,5.40E-04,1.85E-02,1.81E-03,3.09E-02,1.23E-01,7.08E-01,2.03E-03,9.42E-01,9.57E-01
8038989,ZNF600,5.41E-04,1.85E-02,1.91E-02,3.83E-02,8.14E-03,6.35E-01,1.34E-03,9.38E-01,3.41E-01
7968670,UFM1,5.42E-04,1.85E-02,1.92E-03,3.11E-02,1.07E-01,7.01E-01,1.66E-03,7.80E-01,8.23E-01
8167786,--,5.42E-04,1.85E-02,9.50E-03,3.36E-02,6.15E-02,6.79E-01,1.56E-03,2.23E-01,5.06E-01
8014749,RPL23,5.47E-04,1.86E-02,1.50E-02,3.62E-02,1.53E-02,6.41E-01,1.02E-03,7.69E-01,5.69E-01
8084694,EIF4A2,5.53E-04,1.86E-02,1.34E-02,3.54E-02,2.54E-02,6.45E-01,1.31E-03,6.85E-01,3.22E-01
7895320,--,5.54E-04,1.86E-02,1.29E-02,3.53E-02,2.47E-02,6.45E-01,1.24E-03,5.53E-01,5.92E-01
8127987,SNORD50A,5.55E-04,1.86E-02,7.43E-03,3.28E-02,3.96E-02,6.60E-01,4.73E-04,9.76E-01,9.44E-01
7934295,--,5.56E-04,1.86E-02,4.22E-04,2.77E-02,5.19E-01,8.15E-01,7.27E-04,5.19E-01,1.62E-01
8008627,NOG,5.56E-04,1.86E-02,1.41E-02,3.57E-02,6.31E-03,6.35E-01,1.09E-03,2.27E-01,1.45E-01
8109901,FOXI1,5.58E-04,1.86E-02,3.21E-04,2.75E-02,4.22E-01,7.97E-01,2.48E-03,8.76E-01,2.41E-01
7892509,--,5.59E-04,1.86E-02,5.79E-04,3.00E-02,2.53E-01,7.52E-01,1.18E-03,6.61E-01,6.74E-01
7974066,PNN,5.59E-04,1.86E-02,1.01E-02,3.40E-02,4.98E-02,6.67E-01,9.49E-04,4.03E-01,4.87E-01
8047401,CFLAR,5.65E-04,1.88E-02,3.44E-03,3.13E-02,3.52E-02,6.53E-01,1.84E-03,3.18E-01,7.20E-01
7956009,METTL7B,5.66E-04,1.88E-02,2.67E-04,2.75E-02,4.54E-01,8.02E-01,2.78E-03,9.12E-01,2.56E-01
8026139,NFIX,5.68E-04,1.88E-02,3.27E-02,4.48E-02,2.63E-02,6.45E-01,1.56E-03,4.16E-02,2.24E-01
8062695,SRSF6,5.69E-04,1.88E-02,6.18E-04,3.00E-02,2.02E-01,7.38E-01,2.22E-03,7.00E-01,6.66E-01
8180207,--,5.76E-04,1.90E-02,3.22E-03,3.13E-02,9.62E-02,6.99E-01,1.65E-03,8.79E-01,9.40E-01
8103745,HAND2,5.82E-04,1.91E-02,8.87E-03,3.35E-02,8.91E-02,6.94E-01,5.85E-04,1.69E-01,8.04E-01
7929719,C10orf28,5.85E-04,1.91E-02,5.12E-03,3.13E-02,7.48E-02,6.93E-01,2.20E-03,6.01E-01,8.38E-01
8120937,RIPPLY2,5.86E-04,1.91E-02,1.06E-02,3.43E-02,2.32E-02,6.45E-01,1.29E-03,9.42E-01,3.44E-01
8156521,MIRLET7F1,5.86E-04,1.91E-02,3.69E-03,3.13E-02,1.15E-01,7.03E-01,1.69E-03,5.24E-01,9.42E-01
8094030,AFAP1,5.88E-04,1.91E-02,9.86E-03,3.39E-02,3.21E-02,6.45E-01,2.42E-03,4.13E-01,6.15E-01
7989245,HSP90AB4P,5.89E-04,1.91E-02,9.01E-03,3.35E-02,3.61E-02,6.59E-01,9.06E-04,9.00E-01,8.18E-01
7895663,--,5.90E-04,1.91E-02,1.14E-02,3.48E-02,3.19E-02,6.45E-01,9.41E-04,8.58E-01,4.37E-01
8027760,FXYD1,5.91E-04,1.91E-02,1.99E-03,3.11E-02,1.18E-01,7.04E-01,1.60E-03,7.63E-01,7.41E-01
7943160,SCARNA9,5.91E-04,1.91E-02,2.31E-02,4.02E-02,3.79E-02,6.59E-01,7.95E-04,8.39E-02,4.99E-01
7914334,SNRNP40,5.93E-04,1.91E-02,2.31E-02,4.02E-02,2.45E-02,6.45E-01,1.62E-03,2.05E-01,2.94E-01
8046804,NUP35,5.95E-04,1.91E-02,4.35E-03,3.13E-02,3.46E-02,6.50E-01,1.83E-03,3.99E-01,5.69E-01
8150149,--,5.98E-04,1.91E-02,5.91E-03,3.15E-02,4.86E-02,6.67E-01,2.13E-03,9.38E-01,6.85E-01
8134680,ZKSCAN1,5.98E-04,1.91E-02,4.27E-04,2.78E-02,2.89E-01,7.62E-01,2.11E-03,9.53E-01,4.91E-01
7989885,DNAJB14,6.01E-04,1.91E-02,1.70E-03,3.05E-02,1.17E-01,7.03E-01,1.99E-03,7.43E-01,8.89E-01
7896319,--,6.01E-04,1.91E-02,3.69E-03,3.13E-02,1.37E-01,7.20E-01,1.53E-03,3.90E-01,9.13E-01
7898602,OTUD3,6.04E-04,1.91E-02,1.08E-02,3.44E-02,5.15E-02,6.71E-01,8.73E-04,4.51E-01,5.31E-01
8035765,ZNF14,6.04E-04,1.91E-02,1.29E-02,3.53E-02,2.39E-02,6.45E-01,1.32E-03,8.93E-01,4.21E-01
7896368,--,6.05E-04,1.91E-02,3.52E-02,4.60E-02,1.70E-02,6.41E-01,7.11E-04,1.21E-01,4.38E-01
8052087,--,6.07E-04,1.91E-02,9.06E-05,2.75E-02,8.53E-01,8.71E-01,2.88E-03,7.04E-01,6.56E-02
8129181,GOPC,6.07E-04,1.91E-02,7.36E-04,3.00E-02,2.91E-01,7.62E-01,2.09E-03,6.75E-01,5.46E-01
8130087,PPIL4,6.11E-04,1.92E-02,7.59E-03,3.29E-02,4.96E-02,6.67E-01,1.81E-03,6.94E-01,5.56E-01
8030049,CYTH2,6.14E-04,1.92E-02,8.59E-03,3.34E-02,1.08E-01,7.01E-01,1.58E-03,8.40E-02,9.43E-01
7999532,GSPT1,6.15E-04,1.92E-02,1.35E-01,8.76E-02,4.26E-03,6.11E-01,4.56E-04,9.71E-02,2.79E-02
7895847,--,6.16E-04,1.92E-02,4.07E-03,3.13E-02,5.66E-02,6.79E-01,1.61E-03,7.39E-01,9.91E-01
8128075,--,6.24E-04,1.94E-02,2.65E-04,2.75E-02,5.81E-01,8.27E-01,2.20E-03,5.84E-01,1.74E-01
8077858,ATG7,6.25E-04,1.94E-02,4.72E-03,3.13E-02,1.07E-01,7.01E-01,1.93E-03,3.51E-01,7.98E-01
8083457,RAP2B,6.28E-04,1.94E-02,5.30E-03,3.13E-02,1.13E-01,7.01E-01,2.73E-03,2.48E-01,9.53E-01
8016868,--,6.28E-04,1.94E-02,1.16E-03,3.00E-02,5.41E-02,6.74E-01,4.81E-03,8.56E-02,8.61E-01
7963139,BCDIN3D,6.30E-04,1.95E-02,1.09E-02,3.45E-02,8.63E-02,6.94E-01,7.36E-04,1.31E-01,8.20E-01
7896440,--,6.34E-04,1.95E-02,1.60E-03,3.02E-02,2.99E-01,7.66E-01,5.59E-04,2.58E-01,4.19E-01
7908988,SNRPE,6.38E-04,1.96E-02,6.57E-02,5.97E-02,5.01E-03,6.25E-01,3.98E-04,4.20E-01,1.49E-01
8048717,SGPP2,6.45E-04,1.98E-02,5.65E-03,3.15E-02,7.58E-03,6.35E-01,2.24E-03,8.25E-02,4.59E-01
7894168,--,6.48E-04,1.98E-02,3.07E-02,4.39E-02,8.49E-03,6.35E-01,7.39E-04,8.01E-01,3.16E-01
8116534,TRIM52,6.52E-04,1.99E-02,6.04E-03,3.15E-02,1.02E-01,7.01E-01,1.67E-03,3.18E-01,9.46E-01
8059854,ARL4C,6.54E-04,1.99E-02,7.02E-03,3.24E-02,5.35E-02,6.73E-01,2.16E-03,7.71E-01,6.97E-01
8036420,ZFP30,6.57E-04,2.00E-02,5.18E-03,3.13E-02,9.04E-02,6.96E-01,1.49E-03,6.35E-01,9.83E-01
7935865,POLL,6.62E-04,2.01E-02,5.53E-02,5.51E-02,5.46E-03,6.33E-01,7.97E-04,8.85E-01,5.41E-02
7946680,BTBD10,6.64E-04,2.01E-02,1.30E-03,3.00E-02,3.02E-01,7.66E-01,2.31E-03,4.89E-01,4.45E-01
8111925,C5orf39,6.65E-04,2.01E-02,7.86E-03,3.31E-02,3.78E-02,6.59E-01,1.73E-03,9.66E-01,6.27E-01
8080991,HNRNPA3,6.68E-04,2.01E-02,2.55E-02,4.12E-02,1.92E-02,6.45E-01,1.13E-03,4.26E-01,3.52E-01
8051133,FTH1P3,6.68E-04,2.01E-02,6.46E-03,3.19E-02,5.96E-03,6.35E-01,1.33E-03,3.99E-02,4.39E-01
8171848,PCYT1B,6.69E-04,2.01E-02,4.65E-04,2.91E-02,4.05E-01,7.92E-01,8.05E-04,2.07E-01,3.84E-01
8122409,PEX3,6.70E-04,2.01E-02,7.67E-03,3.29E-02,4.44E-02,6.66E-01,2.01E-03,8.87E-01,6.64E-01
8169291,--,6.73E-04,2.01E-02,2.20E-02,3.96E-02,1.19E-02,6.35E-01,7.76E-04,7.98E-01,2.90E-01
7893571,--,6.75E-04,2.01E-02,8.48E-03,3.34E-02,3.77E-02,6.59E-01,8.33E-04,8.30E-01,5.31E-01
7958844,--,6.78E-04,2.02E-02,2.59E-03,3.12E-02,4.63E-02,6.67E-01,1.98E-03,2.20E-01,7.40E-01
8133442,LAT2,6.80E-04,2.02E-02,1.69E-02,3.72E-02,4.82E-02,6.67E-01,1.68E-03,1.25E-01,6.78E-01
8104166,SDHA,6.82E-04,2.02E-02,1.16E-03,3.00E-02,3.84E-01,7.87E-01,2.23E-03,3.35E-01,3.64E-01
7926541,--,6.82E-04,2.02E-02,4.77E-03,3.13E-02,9.41E-02,6.97E-01,8.01E-04,8.55E-01,7.90E-01
8041867,MSH2,6.83E-04,2.02E-02,1.38E-03,3.00E-02,1.20E-01,7.06E-01,1.90E-03,5.78E-01,9.79E-01
7912537,DHRS3,6.87E-04,2.02E-02,2.11E-02,3.92E-02,1.00E-02,6.35E-01,1.36E-03,8.80E-01,3.07E-01
8139790,--,6.88E-04,2.02E-02,8.38E-05,2.75E-02,5.22E-01,8.16E-01,1.70E-03,6.23E-01,1.89E-01
7900395,RLF,6.89E-04,2.02E-02,6.52E-04,3.00E-02,3.46E-01,7.75E-01,2.62E-03,7.49E-01,4.12E-01
8147019,FAM164A,6.92E-04,2.02E-02,2.11E-02,3.92E-02,2.05E-02,6.45E-01,1.32E-03,6.26E-01,3.59E-01
8114320,HNRNPA0,6.94E-04,2.02E-02,8.24E-04,3.00E-02,6.43E-01,8.38E-01,1.63E-03,1.33E-01,1.62E-01
7990582,SCAPER,6.94E-04,2.02E-02,2.02E-02,3.88E-02,2.18E-02,6.45E-01,1.54E-03,5.22E-01,3.68E-01
7996934,NIP7,6.95E-04,2.02E-02,3.56E-02,4.61E-02,8.78E-03,6.35E-01,1.45E-03,5.05E-01,2.31E-01
7950606,RSF1,6.96E-04,2.02E-02,2.54E-03,3.12E-02,1.28E-01,7.12E-01,1.95E-03,7.58E-01,9.17E-01
8034393,ZNF443,6.97E-04,2.02E-02,1.94E-02,3.85E-02,2.08E-02,6.45E-01,1.32E-03,7.79E-01,3.60E-01
7991126,WDR73,6.98E-04,2.02E-02,3.78E-03,3.13E-02,1.69E-01,7.26E-01,1.95E-03,2.06E-01,9.85E-01
8168852,HNRNPH2,6.99E-04,2.02E-02,8.11E-03,3.32E-02,8.01E-02,6.94E-01,2.05E-03,3.08E-01,7.58E-01
8111136,FAM134B,7.02E-04,2.02E-02,5.98E-03,3.15E-02,2.49E-02,6.45E-01,1.32E-03,2.72E-01,5.53E-01
8123825,SLC35B3,7.03E-04,2.02E-02,1.69E-02,3.72E-02,1.65E-02,6.41E-01,2.36E-03,8.88E-01,3.46E-01
7975203,MPP5,7.07E-04,2.03E-02,2.27E-03,3.11E-02,9.22E-02,6.96E-01,1.56E-03,6.16E-01,8.92E-01
7896644,--,7.10E-04,2.03E-02,1.83E-01,1.06E-01,7.24E-04,5.98E-01,6.11E-04,2.56E-01,2.14E-02
7973458,DHRS4L2,7.10E-04,2.03E-02,5.45E-02,5.47E-02,2.54E-02,6.45E-01,6.72E-04,2.53E-02,2.61E-01
8050302,ROCK2,7.11E-04,2.03E-02,7.74E-04,3.00E-02,2.35E-01,7.47E-01,2.67E-03,8.59E-01,5.96E-01
7945864,ZNF195,7.14E-04,2.03E-02,4.36E-03,3.13E-02,1.18E-01,7.04E-01,1.18E-03,4.55E-01,8.61E-01
7975976,AHSA1,7.20E-04,2.04E-02,6.32E-03,3.18E-02,1.02E-01,7.01E-01,1.21E-03,3.63E-01,8.07E-01
8138045,EIF2AK1,7.22E-04,2.04E-02,1.25E-01,8.38E-02,2.65E-03,6.06E-01,6.55E-04,2.81E-01,3.97E-02
8175933,RENBP,7.26E-04,2.05E-02,1.70E-02,3.72E-02,3.87E-02,6.59E-01,1.36E-03,3.52E-01,5.69E-01
8001841,DYNC1LI2,7.34E-04,2.06E-02,2.00E-03,3.11E-02,4.02E-01,7.91E-01,2.16E-03,4.26E-02,4.68E-01
7960134,ZNF26,7.35E-04,2.06E-02,1.25E-02,3.52E-02,4.08E-02,6.61E-01,1.96E-03,5.70E-01,5.22E-01
7893172,--,7.36E-04,2.06E-02,1.55E-02,3.65E-02,8.46E-03,6.35E-01,8.47E-04,3.75E-01,4.56E-01
8158930,C9orf9,7.38E-04,2.06E-02,1.65E-04,2.75E-02,7.33E-01,8.56E-01,2.02E-03,9.77E-01,8.87E-02
7977482,TTC5,7.39E-04,2.06E-02,1.77E-02,3.76E-02,5.75E-02,6.79E-01,1.41E-03,1.20E-01,6.21E-01
7995017,STX4,7.39E-04,2.06E-02,2.06E-02,3.90E-02,2.31E-02,6.45E-01,1.68E-03,4.25E-01,5.11E-01
8007921,MYL4,7.40E-04,2.06E-02,2.92E-01,1.44E-01,8.28E-04,5.98E-01,2.76E-04,1.11E-01,9.21E-03
7942586,RPS3,7.42E-04,2.07E-02,9.42E-03,3.36E-02,4.76E-02,6.67E-01,1.85E-03,7.42E-01,6.02E-01
7946354,LMO1,7.44E-04,2.07E-02,1.16E-02,3.50E-02,1.91E-02,6.45E-01,2.42E-03,7.66E-01,4.47E-01
8124459,ZNF322,7.47E-04,2.07E-02,2.89E-03,3.13E-02,1.57E-01,7.26E-01,2.07E-03,6.15E-01,8.46E-01
7921228,ETV3,7.49E-04,2.07E-02,4.52E-03,3.13E-02,1.89E-01,7.34E-01,1.79E-03,1.03E-01,9.34E-01
8008493,LUC7L3,7.51E-04,2.07E-02,4.66E-03,3.13E-02,9.85E-02,7.00E-01,1.83E-03,6.85E-01,8.11E-01
8112302,C5orf43,7.54E-04,2.07E-02,1.49E-02,3.61E-02,3.35E-02,6.46E-01,1.98E-03,5.98E-01,4.20E-01
7937667,BRSK2,7.55E-04,2.07E-02,3.58E-04,2.75E-02,3.55E-01,7.78E-01,3.75E-03,7.20E-01,4.10E-01
8158022,ZNF79,7.57E-04,2.07E-02,7.23E-02,6.27E-02,2.94E-02,6.45E-01,9.73E-05,4.78E-03,4.09E-01
8052956,EXOC6B,7.58E-04,2.07E-02,4.10E-03,3.13E-02,9.50E-02,6.97E-01,1.96E-03,8.97E-01,8.94E-01
8009176,TACO1,7.60E-04,2.07E-02,3.53E-02,4.61E-02,2.36E-02,6.45E-01,4.87E-04,2.95E-01,3.20E-01
7935002,SRP9,7.61E-04,2.07E-02,2.00E-02,3.87E-02,1.68E-02,6.41E-01,2.15E-03,7.59E-01,3.40E-01
8072610,FBXO7,7.61E-04,2.07E-02,1.49E-01,9.32E-02,2.97E-03,6.06E-01,6.90E-04,8.02E-02,4.39E-02
7967060,SRSF9,7.64E-04,2.08E-02,1.11E-02,3.47E-02,9.59E-02,6.98E-01,2.84E-03,5.06E-02,8.39E-01
7985920,MESP2,7.65E-04,2.08E-02,1.29E-03,3.00E-02,2.80E-01,7.60E-01,5.74E-03,6.46E-01,5.38E-01
8104570,FAM105A,7.69E-04,2.08E-02,1.06E-02,3.44E-02,7.38E-02,6.93E-01,2.30E-03,2.37E-01,5.85E-01
8169920,RBMX2,7.72E-04,2.09E-02,1.07E-01,7.68E-02,2.78E-03,6.06E-01,1.43E-03,2.36E-01,3.45E-02
8038993,ZNF28,7.76E-04,2.09E-02,6.89E-03,3.24E-02,4.53E-02,6.66E-01,2.02E-03,8.03E-01,6.91E-01
8131292,RBAK,7.77E-04,2.09E-02,5.41E-03,3.15E-02,5.09E-02,6.70E-01,1.47E-03,6.14E-01,6.21E-01
8135488,LRRN3,7.86E-04,2.11E-02,4.00E-03,3.13E-02,6.62E-02,6.87E-01,1.77E-03,6.22E-01,7.51E-01
8030950,ZNF701,7.91E-04,2.12E-02,1.03E-02,3.42E-02,3.78E-02,6.59E-01,2.63E-03,8.72E-01,5.38E-01
7921677,CD244,8.02E-04,2.15E-02,1.04E-02,3.42E-02,7.28E-02,6.93E-01,1.83E-03,3.35E-01,8.55E-01
8175311,CXorf48,8.08E-04,2.16E-02,6.41E-02,5.90E-02,2.76E-03,6.06E-01,7.68E-04,9.54E-01,1.28E-01
8123644,TUBB2A,8.10E-04,2.16E-02,8.87E-03,3.35E-02,3.72E-02,6.59E-01,1.01E-03,6.26E-01,2.07E-01
8013305,ZNF286B,8.10E-04,2.16E-02,1.68E-02,3.71E-02,1.03E-02,6.35E-01,1.57E-03,4.44E-01,3.28E-01
8137244,GIMAP4,8.12E-04,2.16E-02,3.05E-02,4.39E-02,1.39E-02,6.41E-01,2.26E-03,5.11E-01,1.90E-01
8122142,SNORD101,8.13E-04,2.16E-02,6.33E-04,3.00E-02,4.24E-01,7.97E-01,2.38E-03,4.97E-01,3.77E-01
8017102,--,8.19E-04,2.17E-02,2.55E-03,3.12E-02,2.01E-01,7.38E-01,2.37E-03,5.36E-01,7.36E-01
7966046,MTERFD3,8.24E-04,2.17E-02,2.02E-02,3.88E-02,5.25E-02,6.73E-01,9.10E-04,2.05E-01,5.68E-01
8039025,ZNF702P,8.24E-04,2.17E-02,1.76E-02,3.76E-02,2.25E-02,6.45E-01,1.97E-03,9.16E-01,3.42E-01
8171491,--,8.27E-04,2.18E-02,9.31E-04,3.00E-02,2.93E-01,7.63E-01,3.60E-03,6.75E-01,3.29E-01
8094271,MED28,8.28E-04,2.18E-02,6.82E-03,3.24E-02,1.65E-01,7.26E-01,2.26E-03,6.76E-02,9.48E-01
7969271,SUGT1,8.30E-04,2.18E-02,6.57E-03,3.20E-02,1.06E-01,7.01E-01,2.30E-03,3.64E-01,8.06E-01
8131067,GPR146,8.37E-04,2.19E-02,1.82E-01,1.05E-01,4.59E-03,6.11E-01,6.89E-04,3.90E-02,2.92E-02
7971550,MED4,8.43E-04,2.20E-02,2.31E-03,3.11E-02,2.23E-01,7.44E-01,2.81E-03,3.85E-01,7.87E-01
8031744,ZNF17,8.44E-04,2.20E-02,1.08E-02,3.45E-02,3.54E-02,6.54E-01,1.99E-03,9.97E-01,6.13E-01
8166498,--,8.46E-04,2.20E-02,5.92E-03,3.15E-02,1.89E-01,7.34E-01,1.19E-03,1.18E-01,8.06E-01
8023868,LOC400657,8.52E-04,2.21E-02,6.02E-03,3.15E-02,3.75E-02,6.59E-01,2.21E-03,4.24E-01,6.57E-01
7893690,--,8.52E-04,2.21E-02,6.80E-03,3.23E-02,1.24E-01,7.08E-01,1.52E-03,3.46E-01,7.41E-01
8173135,ALAS2,8.54E-04,2.21E-02,2.27E-01,1.21E-01,7.12E-03,6.35E-01,4.54E-04,6.52E-04,4.24E-02
7922410,SNORD44,8.55E-04,2.21E-02,1.29E-03,3.00E-02,1.32E-01,7.16E-01,1.60E-03,4.22E-01,8.97E-01
8009476,MAP2K6,8.58E-04,2.21E-02,3.80E-03,3.13E-02,5.89E-02,6.79E-01,2.74E-03,5.43E-01,5.11E-01
8048272,C2orf62,8.61E-04,2.21E-02,2.95E-03,3.13E-02,8.77E-02,6.94E-01,1.61E-03,4.58E-01,9.26E-01
7972365,--,8.62E-04,2.21E-02,9.70E-03,3.38E-02,4.51E-02,6.66E-01,3.03E-04,6.84E-01,9.50E-01
7984405,C15orf61,8.62E-04,2.21E-02,7.89E-02,6.55E-02,1.02E-02,6.35E-01,1.09E-03,7.64E-02,1.76E-01
7965436,EEA1,8.62E-04,2.21E-02,2.84E-03,3.12E-02,1.11E-01,7.01E-01,2.22E-03,7.97E-01,9.90E-01
8157933,ZBTB43,8.66E-04,2.21E-02,1.66E-02,3.70E-02,6.06E-02,6.79E-01,1.29E-03,2.35E-01,6.50E-01
8070141,CRYZL1,8.76E-04,2.23E-02,2.24E-02,3.98E-02,1.98E-02,6.45E-01,2.08E-03,8.56E-01,1.75E-01
7951422,KIAA1826,8.77E-04,2.23E-02,1.47E-02,3.60E-02,3.62E-02,6.59E-01,1.89E-03,7.85E-01,3.45E-01
7968915,GTF2F2,8.80E-04,2.23E-02,2.50E-03,3.12E-02,1.03E-01,7.01E-01,2.58E-03,6.42E-01,8.80E-01
7893266,--,8.81E-04,2.23E-02,2.02E-02,3.88E-02,3.63E-02,6.59E-01,2.60E-03,2.90E-01,3.86E-01
7894258,--,8.82E-04,2.23E-02,1.05E-03,3.00E-02,3.91E-01,7.89E-01,2.45E-03,7.80E-01,2.94E-01
8024170,HMHA1,8.84E-04,2.23E-02,6.98E-04,3.00E-02,5.36E-01,8.18E-01,2.62E-03,8.83E-01,1.54E-01
8173673,ATRX,8.85E-04,2.23E-02,1.54E-03,3.01E-02,1.28E-01,7.12E-01,3.40E-03,4.64E-01,9.24E-01
7896632,--,8.89E-04,2.24E-02,1.69E-03,3.05E-02,2.99E-01,7.66E-01,3.04E-03,3.60E-01,6.09E-01
8066697,SLC35C2,9.00E-04,2.26E-02,5.96E-03,3.15E-02,1.96E-01,7.36E-01,2.15E-03,9.78E-02,8.54E-01
8022473,ESCO1,9.05E-04,2.26E-02,4.02E-03,3.13E-02,7.47E-02,6.93E-01,2.76E-03,6.34E-01,8.58E-01
8168968,GPRASP1,9.10E-04,2.26E-02,4.56E-03,3.13E-02,4.56E-02,6.66E-01,2.90E-03,3.76E-01,6.98E-01
