Affymetrix ID,Gene,p.value.ASDvsControls ,FDR.ASDvsControls ,p.value.ASDvsControls.males,FDR.ASDvsControls.males,p.value.ASDvsControls.females,FDR.ASDvsControls.females,Two.way.ANOVA.p.Dx.,Two.way.ANOVA.p.Gender.,Two.way.ANOVA.p.Dx*Gender
8022045,MYOM1,3.94E-05,9.42E-03,3.83E-03,3.13E-02,1.32E-02,6.40E-01,1.63E-05,3.60E-01,4.95E-01
8072382,OSBP2,3.95E-05,9.42E-03,1.61E-02,3.68E-02,1.01E-02,6.35E-01,2.45E-05,2.14E-03,1.29E-01
8006477,ZNF830,3.99E-05,9.42E-03,3.00E-03,3.13E-02,1.93E-02,6.45E-01,1.03E-04,1.22E-01,4.39E-01
7960654,ING4,4.23E-05,9.76E-03,5.40E-04,2.99E-02,6.26E-02,6.79E-01,1.09E-04,4.27E-01,9.89E-01
8167815,MAGED2,4.27E-05,9.76E-03,9.96E-04,3.00E-02,2.33E-02,6.45E-01,1.81E-04,8.11E-01,8.71E-01
8093130,RNF168,4.37E-05,9.83E-03,8.87E-04,3.00E-02,4.84E-02,6.67E-01,1.68E-04,3.20E-01,9.92E-01
7926283,PRPF18,4.52E-05,9.92E-03,3.85E-03,3.13E-02,7.54E-03,6.35E-01,1.46E-04,4.96E-01,3.19E-01
8119408,NFYA,4.63E-05,9.92E-03,4.03E-04,2.75E-02,7.49E-02,6.93E-01,1.77E-04,5.76E-01,7.91E-01
7982574,FAM98B,4.68E-05,9.92E-03,1.69E-03,3.04E-02,3.22E-02,6.45E-01,1.67E-04,2.21E-01,7.59E-01
7959251,P2RX7,4.69E-05,9.92E-03,1.14E-02,3.48E-02,6.90E-03,6.35E-01,6.85E-05,9.21E-02,1.26E-01
8176698,TXLNG2P,4.92E-05,9.92E-03,5.76E-05,2.75E-02,3.04E-01,7.66E-01,3.52E-13,2.20E-51,2.69E-03
7899377,PPP1R8,5.05E-05,9.92E-03,5.83E-03,3.15E-02,1.34E-02,6.40E-01,1.15E-04,7.82E-02,3.81E-01
8016433,HOXB1,5.07E-05,9.92E-03,2.78E-04,2.75E-02,8.24E-02,6.94E-01,1.97E-04,9.99E-01,5.84E-01
7970681,RNF6,5.08E-05,9.92E-03,2.67E-03,3.12E-02,1.55E-02,6.41E-01,1.56E-04,4.34E-01,3.93E-01
7919394,LOC728855,5.12E-05,9.92E-03,2.60E-03,3.12E-02,1.13E-02,6.35E-01,1.63E-04,7.61E-01,4.06E-01
7898910,PNRC2,5.18E-05,9.92E-03,9.99E-03,3.40E-02,2.61E-03,6.06E-01,1.31E-04,3.31E-01,1.82E-01
8039933,PNRC2,5.18E-05,9.92E-03,9.99E-03,3.40E-02,2.61E-03,6.06E-01,1.31E-04,3.31E-01,1.82E-01
8082504,C3orf37,5.27E-05,9.92E-03,1.25E-03,3.00E-02,4.84E-02,6.67E-01,1.09E-04,2.77E-01,9.70E-01
8164907,REXO4,5.37E-05,9.92E-03,5.84E-02,5.64E-02,6.07E-04,5.79E-01,2.54E-05,2.09E-02,4.34E-02
8176709,CYorf15B,5.53E-05,9.92E-03,1.25E-04,2.75E-02,3.54E-01,7.78E-01,2.91E-11,3.04E-44,4.74E-03
8003621,RNMTL1,5.56E-05,9.92E-03,6.63E-02,6.00E-02,5.39E-04,5.79E-01,2.49E-05,7.01E-02,2.49E-02
8021984,YES1,5.62E-05,9.92E-03,2.35E-03,3.11E-02,5.38E-03,6.33E-01,1.22E-04,3.99E-01,3.27E-01
8084146,FXR1,5.64E-05,9.92E-03,1.97E-03,3.11E-02,1.64E-02,6.41E-01,1.79E-04,7.61E-01,4.47E-01
8177137,UTY,5.75E-05,9.92E-03,1.13E-05,2.75E-02,3.43E-01,7.73E-01,2.00E-14,5.41E-57,1.47E-03
8079346,SACM1L,5.76E-05,9.92E-03,5.52E-04,3.00E-02,3.01E-02,6.45E-01,2.91E-04,6.74E-01,7.50E-01
7893397,--,6.03E-05,9.92E-03,1.56E-03,3.02E-02,6.27E-02,6.79E-01,3.28E-05,1.91E-01,6.79E-01
8024255,MUM1,6.14E-05,9.92E-03,3.47E-04,2.75E-02,4.72E-02,6.67E-01,1.04E-04,5.37E-01,9.47E-01
8077931,MKRN2,6.24E-05,9.92E-03,3.44E-04,2.75E-02,9.32E-02,6.97E-01,2.16E-04,6.34E-01,8.61E-01
8020806,RNF125,6.25E-05,9.92E-03,7.48E-04,3.00E-02,2.16E-02,6.45E-01,2.61E-04,5.51E-01,7.98E-01
7892909,--,6.26E-05,9.92E-03,2.40E-02,4.06E-02,4.04E-03,6.08E-01,8.98E-05,1.92E-02,1.52E-01
8063636,STX16,6.34E-05,9.92E-03,1.66E-03,3.04E-02,4.98E-02,6.67E-01,2.68E-04,1.44E-01,8.74E-01
8141133,SHFM1,6.35E-05,9.92E-03,1.71E-02,3.73E-02,2.69E-03,6.06E-01,9.93E-05,1.92E-01,1.66E-01
8167638,--,6.41E-05,9.92E-03,2.25E-03,3.11E-02,3.23E-02,6.45E-01,1.19E-04,3.14E-01,7.28E-01
8176578,USP9Y,6.42E-05,9.92E-03,8.18E-05,2.75E-02,3.86E-01,7.87E-01,2.73E-12,2.15E-49,4.34E-03
8176276,ATRX,6.46E-05,9.92E-03,5.04E-04,2.96E-02,4.16E-02,6.61E-01,2.92E-04,7.92E-01,8.26E-01
8110392,TMED9,6.51E-05,9.92E-03,4.65E-03,3.13E-02,7.48E-03,6.35E-01,3.33E-04,3.35E-01,3.98E-01
8115166,--,6.72E-05,1.00E-02,4.33E-03,3.13E-02,2.77E-03,6.06E-01,6.68E-05,8.71E-01,7.97E-01
8059770,TIGD1,6.85E-05,1.00E-02,1.58E-02,3.66E-02,2.82E-03,6.06E-01,1.03E-04,2.82E-01,1.99E-01
8176719,EIF1AY,6.90E-05,1.00E-02,4.02E-04,2.75E-02,3.40E-01,7.72E-01,2.32E-09,1.12E-36,8.91E-03
8110112,--,6.94E-05,1.00E-02,2.06E-03,3.11E-02,2.61E-02,6.45E-01,1.83E-04,5.32E-01,9.11E-01
7895774,--,6.94E-05,1.00E-02,1.94E-02,3.85E-02,2.48E-03,6.06E-01,2.37E-05,2.44E-01,2.89E-01
8067585,BHLHE23,7.07E-05,1.00E-02,3.09E-03,3.13E-02,1.82E-02,6.43E-01,2.76E-04,5.01E-01,4.46E-01
8005110,ZNF286A,7.08E-05,1.00E-02,7.00E-03,3.24E-02,2.64E-03,6.06E-01,1.59E-04,5.78E-01,1.01E-01
8137715,MICALL2,7.22E-05,1.01E-02,3.82E-04,2.75E-02,6.09E-02,6.79E-01,4.61E-04,8.78E-01,6.24E-01
8156826,TGFBR1,7.46E-05,1.04E-02,1.90E-04,2.75E-02,1.09E-01,7.01E-01,2.91E-04,7.41E-01,6.10E-01
7895369,--,7.57E-05,1.04E-02,1.93E-05,2.75E-02,2.87E-01,7.62E-01,4.98E-05,1.75E-01,1.01E-01
7895955,--,7.64E-05,1.04E-02,2.84E-03,3.12E-02,3.73E-02,6.59E-01,1.42E-04,1.76E-01,8.95E-01
7978754,C11orf58,7.73E-05,1.04E-02,3.11E-03,3.13E-02,2.27E-02,6.45E-01,2.67E-04,3.01E-01,5.87E-01
7933659,CSTF2T,7.95E-05,1.05E-02,5.97E-04,3.00E-02,1.10E-01,7.01E-01,2.28E-04,2.88E-01,8.24E-01
8034199,TSPAN16,8.02E-05,1.05E-02,5.66E-03,3.15E-02,1.40E-02,6.41E-01,1.33E-04,1.99E-01,7.98E-01
7944401,HMBS,8.06E-05,1.05E-02,8.45E-03,3.34E-02,2.91E-03,6.06E-01,1.29E-04,9.76E-01,2.72E-01
8020717,CHST9-AS1,8.09E-05,1.05E-02,2.07E-04,2.75E-02,5.56E-02,6.77E-01,3.49E-04,2.00E-01,5.22E-01
