Affymetrix ID,Gene,p.value,FDR,p.value.AUTvsControl,FDR.AUTvsControl,p.value.PDDNOSvsControl,FDR.PDDNOSvsControl,p.value.ASPvsControl,FDR.ASPvsControl
8055913,PRPF40A,8.21E-04,1.40E-02,6.35E-03,1.48E-01,4.10E-02,5.07E-01,1.28E-01,1
7973377,BCL2L2,8.34E-04,1.42E-02,5.60E-02,4.13E-01,6.36E-03,3.01E-01,3.68E-02,1
7966135,CORO1C,8.35E-04,1.42E-02,3.76E-02,3.44E-01,6.97E-03,3.04E-01,8.54E-02,1
7918157,VAV3,8.36E-04,1.42E-02,1.44E-03,8.47E-02,2.11E-02,4.24E-01,8.72E-01,1
7926410,MRC1,8.43E-04,1.43E-02,9.11E-03,1.75E-01,9.27E-03,3.35E-01,5.07E-01,1
7916747,JAK1,8.48E-04,1.43E-02,8.02E-03,1.66E-01,1.43E-02,3.73E-01,4.02E-01,1
8093398,PCGF3,8.54E-04,1.44E-02,1.88E-03,9.21E-02,2.58E-02,4.52E-01,7.37E-01,1
8162086,AGTPBP1,8.56E-04,1.44E-02,8.79E-03,1.73E-01,1.11E-02,3.50E-01,4.64E-01,1
8127145,ELOVL5,8.59E-04,1.44E-02,2.64E-03,1.07E-01,2.74E-02,4.55E-01,5.94E-01,1
7969935,ERCC5,8.64E-04,1.45E-02,2.26E-04,5.31E-02,3.71E-02,4.96E-01,9.99E-01,1
8169519,WDR44,8.71E-04,1.45E-02,2.72E-03,1.07E-01,3.25E-02,4.80E-01,5.20E-01,1
7974214,KLHDC1,8.73E-04,1.45E-02,2.49E-03,1.05E-01,1.70E-02,3.94E-01,8.15E-01,1
8042291,AFTPH,8.75E-04,1.45E-02,2.76E-03,1.07E-01,2.59E-02,4.52E-01,6.10E-01,1
8078227,KAT2B,8.77E-04,1.45E-02,6.29E-03,1.48E-01,2.63E-02,4.52E-01,2.91E-01,1
7959604,DDX55,8.78E-04,1.45E-02,2.38E-03,1.02E-01,1.83E-02,4.07E-01,8.06E-01,1
8123006,SYNJ2,8.80E-04,1.45E-02,3.52E-03,1.17E-01,1.10E-02,3.48E-01,8.58E-01,1
7904158,OLFML3,8.84E-04,1.46E-02,2.12E-02,2.68E-01,2.05E-03,2.41E-01,6.76E-01,1
7922162,SLC19A2,8.85E-04,1.46E-02,4.50E-03,1.28E-01,1.05E-02,3.43E-01,7.89E-01,1
7965064,OSBPL8,8.87E-04,1.46E-02,8.67E-03,1.72E-01,2.40E-02,4.44E-01,2.21E-01,1
7987869,TMEM87A,8.90E-04,1.46E-02,1.73E-03,9.13E-02,2.37E-02,4.44E-01,8.22E-01,1
7924092,SLC30A1,8.94E-04,1.46E-02,2.94E-03,1.08E-01,3.10E-02,4.73E-01,5.29E-01,1
8124459,ZNF322,8.97E-04,1.46E-02,5.56E-03,1.40E-01,9.62E-03,3.40E-01,7.53E-01,1
8146000,ADAM9,8.99E-04,1.46E-02,1.84E-02,2.50E-01,1.84E-02,4.07E-01,1.02E-01,1
8090469,GATA2,9.00E-04,1.46E-02,4.33E-03,1.26E-01,1.61E-02,3.87E-01,6.53E-01,1
8056860,WIPF1,9.02E-04,1.46E-02,1.01E-02,1.83E-01,2.84E-02,4.61E-01,1.45E-01,1
8083075,ACPL2,9.06E-04,1.46E-02,8.98E-04,7.33E-02,1.19E-02,3.58E-01,1.00E+00,1
7903188,PTBP2,9.18E-04,1.48E-02,3.13E-03,1.12E-01,2.04E-02,4.23E-01,7.02E-01,1
8161288,CNTNAP3,9.23E-04,1.49E-02,6.56E-02,4.43E-01,4.39E-03,2.73E-01,6.18E-02,1
7932938,EPC1,9.25E-04,1.49E-02,6.08E-03,1.46E-01,4.87E-03,2.89E-01,9.27E-01,1
7934812,WAPAL,9.29E-04,1.49E-02,5.01E-03,1.34E-01,2.03E-02,4.23E-01,5.28E-01,1
7976876,DYNC1H1,9.36E-04,1.50E-02,2.50E-03,1.05E-01,3.47E-02,4.90E-01,5.60E-01,1
8064939,TMX4,9.38E-04,1.50E-02,4.16E-03,1.24E-01,9.33E-03,3.37E-01,8.83E-01,1
8006336,LRRC37B,9.40E-04,1.50E-02,4.21E-03,1.24E-01,2.07E-02,4.23E-01,5.95E-01,1
8096753,HADH,9.44E-04,1.50E-02,1.62E-03,8.90E-02,2.60E-02,4.52E-01,8.50E-01,1
7902883,LRRC8D,9.49E-04,1.51E-02,2.64E-03,1.07E-01,1.30E-02,3.68E-01,9.17E-01,1
7930956,SEC23IP,9.52E-04,1.51E-02,1.00E-02,1.82E-01,1.89E-02,4.13E-01,2.87E-01,1
7966052,CRY1,9.58E-04,1.51E-02,1.76E-03,9.18E-02,1.49E-02,3.73E-01,9.65E-01,1
8160238,PSIP1,9.70E-04,1.52E-02,1.07E-03,7.84E-02,1.96E-02,4.18E-01,9.88E-01,1
7969576,MIR17HG,9.71E-04,1.52E-02,1.51E-03,8.67E-02,2.12E-02,4.26E-01,9.31E-01,1
8059739,NPPC,9.71E-04,1.52E-02,1.65E-01,6.85E-01,2.63E-03,2.46E-01,6.87E-03,1
8085815,TOP2B,9.73E-04,1.52E-02,1.73E-03,9.13E-02,2.37E-02,4.43E-01,8.75E-01,1
8133860,GNAI1,9.75E-04,1.52E-02,4.14E-03,1.24E-01,3.89E-03,2.71E-01,9.98E-01,1
7916282,LRP8,9.82E-04,1.53E-02,2.15E-03,9.77E-02,6.88E-03,3.03E-01,1.00E+00,1
8164002,ZBTB26,9.85E-04,1.53E-02,2.57E-03,1.06E-01,1.04E-02,3.43E-01,9.69E-01,1
8003116,HSDL1,9.92E-04,1.54E-02,9.26E-03,1.76E-01,1.10E-02,3.48E-01,5.61E-01,1
8170364,AFF2,9.95E-04,1.54E-02,2.95E-02,3.09E-01,1.30E-02,3.68E-01,9.17E-02,1
8086482,ZNF445,9.96E-04,1.54E-02,3.28E-03,1.14E-01,1.75E-02,4.00E-01,7.97E-01,1
7978428,STRN3,9.98E-04,1.54E-02,7.45E-03,1.58E-01,1.95E-02,4.18E-01,4.26E-01,1
