Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,G0,G1,G2,G3
CX3CL1,-0.145857901,5.873617126,26.16573407,3.13E-07,0.001899641,0.001940603,1378,1490,1476,1275,1018,1360,978,1373
ESF1,0.124854529,6.30345442,26.13097112,3.19E-07,0.001880463,0.002514261,2050,1703,1576,1652,2009,1986,1386,1671
CTSA,-0.162563976,5.529497693,26.10779339,3.23E-07,0.001974021,0.001929639,1436,1289,909,904,1074,1188,676,836
ATP6V0D1,-0.104255866,6.810175772,26.05291554,3.32E-07,0.001852992,0.00144794,3408,2725,2382,2288,2533,2781,1688,2332
ATAD3B,0.135237877,6.071705379,26.03113053,3.36E-07,0.001885223,0.002146981,1738,1271,1532,1377,1566,1674,1207,1552
TTC19,0.115186304,6.526271741,25.95448217,3.50E-07,0.001876365,0.001819405,2335,2095,1969,1772,2225,2202,1562,2218
ZHX1,-0.144799526,5.84719214,25.9446875,3.51E-07,0.001902776,0.002584034,1870,1403,1273,1128,1604,1328,755,1050
ZNF76,0.156131456,5.640876939,25.73048704,3.93E-07,0.001940936,0.002364717,1298,1105,986,959,1178,1200,932,1178
WDR83OS,-0.120484631,6.380018646,25.61821082,4.16E-07,0.001879617,0.002971142,2233,1849,2080,1837,1717,1898,1200,2022
MGST3,-0.125000886,6.25923981,25.59375545,4.21E-07,0.001880937,0.001842902,2312,1838,1722,1569,1847,1825,1056,1601
MEGF9,0.100301892,6.886362725,25.57532638,4.25E-07,0.001840812,0.001300961,3290,3183,2217,1959,2950,3575,1865,2240
ZNF271,0.113693958,6.521683518,25.57199682,4.26E-07,0.001876525,0.001448439,2729,2315,1720,1508,2542,2600,1464,1680
POLR3G,0.135600996,6.038075954,25.50260041,4.42E-07,0.001886734,0.001627274,1685,1325,1376,1372,1519,1512,1219,1604
SYNGR1,-0.191432313,5.027166543,25.43150688,4.58E-07,0.002289271,0.003029004,1088,723,768,657,712,726,489,687
S100A11,-0.113159838,6.518006483,25.40999702,4.64E-07,0.00187665,0.003412995,3522,1705,2056,1754,2725,1828,1163,1933
NDUFA11,-0.104243918,6.776360218,25.4053802,4.65E-07,0.001857528,0.002567788,3168,2573,2482,2305,2474,2484,1512,2642
MFSD10,0.105753298,6.743453655,25.40443767,4.65E-07,0.001861418,0.00335471,2734,2133,2563,2106,2287,2942,1873,2385
TRAF3IP2,-0.317934754,3.568435491,25.38168582,4.70E-07,0.006011607,0.005426561,384,297,304,237,257,291,150,208
HUS1,0.159891362,5.534030491,25.37960477,4.71E-07,0.001972472,0.0018235,1353,959,905,873,1374,1105,722,1017
DDB2,-0.150951745,5.724893902,25.34612307,4.79E-07,0.001922174,0.001468369,1420,1164,1286,1236,1099,1081,873,1204
MIR5047,-0.199285275,4.881837285,25.2822621,4.95E-07,0.00245122,0.001933668,993,901,549,516,765,808,359,470
CSTB,-0.137175764,5.973225144,25.21290578,5.13E-07,0.001890614,0.004053681,1865,1382,1544,1324,1371,1562,859,1363
MRPS28,-0.22850872,4.520122478,25.1557538,5.29E-07,0.003056891,0.002816979,581,545,572,565,440,535,329,497
C6orf136,0.292825656,3.799673588,25.07749957,5.51E-07,0.00514982,0.003268626,333,253,299,264,337,353,257,354
TOMM6,-0.103883494,6.775279818,25.02700673,5.65E-07,0.001857664,0.002107787,3063,2179,2681,2552,2412,2408,1692,2505
PAWR,0.183644796,5.128969873,25.01469542,5.69E-07,0.002197944,0.002963863,918,653,805,664,918,889,639,723
DHFRL1,0.244533809,4.274899072,24.88500708,6.09E-07,0.003645288,0.002245123,567,474,336,284,578,575,304,365
CCDC22,0.199411156,4.884184782,24.79056975,6.39E-07,0.002448277,0.002622108,760,634,586,550,691,723,563,712
MRPS10,0.119706805,6.338554157,24.77468246,6.44E-07,0.0018801,0.001668966,2241,1746,1699,1537,2211,1977,1299,1763
MZF1,0.168482148,5.374599421,24.76974787,6.46E-07,0.002038699,0.001670045,982,869,936,800,928,1039,821,931
TXNDC16,0.161292876,5.475629092,24.7122008,6.66E-07,0.001993849,0.002085289,1298,899,874,848,1321,1004,759,947
PAPD7,0.100268671,6.8620956,24.70394183,6.68E-07,0.001844981,0.00196636,2991,2530,2465,2352,2750,2605,2188,2696
HDAC5,-0.148435182,5.709228133,24.67097041,6.80E-07,0.001925307,0.003583662,1495,1725,965,911,1108,1441,754,1012
HEMK1,0.193398994,4.964716944,24.65988867,6.84E-07,0.002353997,0.003251698,797,681,629,581,790,791,625,625
EIF2AK2,0.103700117,6.738335646,24.65138993,6.87E-07,0.001861978,0.002198289,3190,2469,1943,2021,3098,2659,1703,2105
ZNF460,0.138228978,5.920396567,24.56316446,7.19E-07,0.001894886,0.005249671,1630,1430,1059,1207,1627,1358,1098,1351
MPP5,0.108306501,6.619716066,24.55882636,7.21E-07,0.001871904,0.001329978,2670,2146,2093,1873,2510,2367,1670,2200
TRNP1,-0.173414945,5.251033227,24.49351966,7.46E-07,0.002109015,0.003481593,1201,890,890,783,873,976,504,741
SEC22B,-0.106716787,6.643276342,24.46167144,7.58E-07,0.001870358,0.001710677,3216,2536,2055,1881,2392,2502,1402,2060
LAMTOR2,-0.212482546,4.670913204,24.38877314,7.87E-07,0.002766106,0.003956244,756,569,648,559,553,586,340,545
TTK,0.101799884,6.78058573,24.19262257,8.72E-07,0.001856991,0.001638811,2895,2305,2512,2117,2802,2502,1892,2524
ABCC5,-0.117647117,6.343366637,24.15049981,8.91E-07,0.001880048,0.001602095,2534,2234,1721,1422,2068,2058,1157,1471
DOCK11,0.162568246,5.417833371,24.09435986,9.17E-07,0.002018218,0.003044924,1070,1083,769,811,1102,1264,703,828
GRAMD4,-0.104066005,6.694919055,24.05877936,9.34E-07,0.001866261,0.001618267,3303,2590,2190,1941,2418,2677,1558,1988
MEGF10,0.12214233,6.250774538,24.05524815,9.36E-07,0.001881037,0.003795559,2088,1710,1439,1490,1819,1786,1470,1697
CEP104,-0.134220021,5.952496697,23.98801417,9.69E-07,0.001892161,0.001693058,2021,1595,1390,1083,1628,1581,890,1013
SPSB3,0.173658161,5.228579607,23.97668411,9.75E-07,0.002123829,0.002087741,938,817,740,754,912,1016,647,831
ASXL2,0.106144611,6.631992316,23.93389872,9.97E-07,0.001871122,0.001997004,2873,2347,1905,1791,2721,2599,1673,1874
SNHG8,-0.377740378,3.026882508,23.80971863,1.06E-06,0.008096098,0.006607898,223,124,250,234,128,120,126,215
USP19,0.105791756,6.649688076,23.79094309,1.07E-06,0.001869904,0.001656412,2624,2140,2146,2009,2261,2528,1845,2247
WASH2P,0.206355501,4.721745249,23.78871557,1.08E-06,0.002680554,0.004094411,616,602,573,464,606,686,431,699
FAM63B,0.130365517,6.03110445,23.75999118,1.09E-06,0.001887088,0.001487098,1912,1328,1401,1190,1803,1562,1085,1422
CAB39L,0.18399567,5.046278087,23.75793133,1.09E-06,0.002270831,0.001890391,872,692,689,612,857,800,564,788
TCEAL7,-0.105486145,6.623996866,23.75092243,1.10E-06,0.001871637,0.002369669,3358,2502,2103,1686,2728,2429,1264,1864
KIF13B,0.175698686,5.172564964,23.56596279,1.21E-06,0.002163763,0.002347168,980,697,725,728,920,859,675,806
RABAC1,-0.133287946,5.952690122,23.51556924,1.24E-06,0.001892146,0.0024914,1949,1402,1452,1237,1424,1478,882,1309
ZNF804A,0.284579266,3.739233578,23.51207387,1.24E-06,0.005369078,0.003675011,487,256,210,195,507,360,185,229
ATPAF1,-0.134833728,5.933390426,23.42600886,1.30E-06,0.001893733,0.001668865,1771,1208,1535,1391,1376,1236,1047,1282
C7orf50,-0.101123686,6.74957092,23.41761081,1.30E-06,0.001860734,0.003259266,3017,2326,2638,2335,2356,2571,1514,2484
UBXN6,-0.11867289,6.280860177,23.30054839,1.39E-06,0.001880698,0.002485843,2237,1689,1802,1765,1718,1868,1101,1726
SLC17A5,-0.258207844,4.025143615,23.2705094,1.41E-06,0.004382173,0.003973151,591,407,368,298,404,384,196,301
CEP112,0.148187081,5.624725876,23.25616444,1.42E-06,0.001945122,0.001590289,1381,1175,958,855,1336,1384,752,1022
GDF11,-0.105887501,6.597933694,23.232717,1.44E-06,0.00187317,0.001838775,2924,2515,2096,1820,2204,2655,1513,1684
NAT9,0.166148691,5.29868771,23.20091032,1.46E-06,0.002079718,0.001885055,1144,851,763,695,1022,1021,677,861
ZNF768,-0.110685963,6.484176735,23.19602526,1.46E-06,0.001877662,0.001326912,2396,2088,2153,1927,1882,2065,1442,1962
SUPT3H,-0.168024969,5.265931517,23.12100693,1.52E-06,0.002099547,0.003070039,1254,815,973,754,892,806,574,832
URM1,-0.100768066,6.75198963,23.11918504,1.52E-06,0.001860458,0.002611142,2703,2319,2675,2543,2138,2596,1616,2539
TROAP,0.11484559,6.374740992,23.07961232,1.55E-06,0.001879684,0.001339551,1987,1748,1962,1630,1829,2026,1541,1931
CCDC94,-0.206597184,4.697285469,23.0779208,1.56E-06,0.002720931,0.002347206,604,554,676,687,457,528,396,656
GOLGA1,0.160327198,5.388681128,23.03709811,1.59E-06,0.002031808,0.00216694,1145,1062,735,733,1098,1149,676,902
NLRP2,0.187945036,4.941470448,22.97989575,1.64E-06,0.002379917,0.003404182,807,555,683,608,714,796,539,744
