Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,G0,G1,G2,G3
UTRN,0.105558755,8.407207194,80.53898335,2.85E-19,0.001221669,0.001197565,9830,6715,6964,6889,9035,7545,5976,7569
AAGAB,0.159324394,7.192768379,79.07609421,5.98E-19,0.001766638,0.001252786,3817,3195,3038,2760,3578,3869,2453,3370
FRZB,-0.193885814,6.617561381,78.84534727,6.72E-19,0.001872036,0.001944144,3231,2444,2216,1887,2162,2382,1476,1884
CRADD,0.556148942,3.590216647,77.63453457,1.24E-18,0.005928129,0.006130749,264,238,223,172,321,332,224,347
GOLM1,0.108196605,8.274676941,77.25005455,1.51E-18,0.001290774,0.001190238,8200,6683,6706,6063,7738,7811,5059,6993
C4orf27,0.246860856,5.889188514,76.68903453,2.00E-18,0.001897949,0.002062475,1578,1060,1279,1116,1574,1410,1016,1507
BLOC1S2,-0.19374125,6.560950286,75.69325073,3.31E-18,0.001874992,0.001638688,2872,2601,1993,1894,2099,2287,1303,1939
VPS13C,0.145835367,7.343996,74.16341859,7.19E-18,0.001716929,0.00374628,4945,3910,2839,2757,4889,3840,2817,3189
ZHX2,-0.234459788,5.986190528,73.80868035,8.61E-18,0.001889726,0.001780064,1869,1641,1510,1316,1252,1506,953,1289
JUND,-0.111439918,8.124691184,73.80245627,8.63E-18,0.001367998,0.001816336,8019,6997,6363,5477,5848,6790,4293,6159
YY1,0.125681074,7.781235234,73.73295099,8.94E-18,0.001536082,0.001317496,5768,4513,4992,4219,5339,5507,3977,4773
NCAPG,0.106258018,8.255067503,73.40225779,1.06E-17,0.001300947,0.001309089,8397,6657,6636,5661,8069,7032,5450,6538
FDXR,-0.223482099,6.119833811,73.4002978,1.06E-17,0.001883552,0.002505364,2028,1752,1621,1503,1356,1492,1058,1591
AIMP1,0.196787441,6.438823737,71.45699163,2.83E-17,0.001878692,0.00136818,2268,1832,1717,1674,2238,2249,1486,1985
PARP4,0.16930717,6.877371264,71.20918505,3.21E-17,0.001842388,0.001497483,2992,2369,2423,2410,2799,2803,2195,2809
SMC5,0.122922657,7.782311252,70.97054981,3.63E-17,0.001535583,0.001211746,6179,4706,4502,4221,5877,5273,3731,4834
PHLPP2,0.193060837,6.485108463,70.37684171,4.90E-17,0.001877638,0.001848306,2151,1885,1776,1859,2093,2172,1686,2189
EIF3F,-0.109969163,8.068469321,69.29802084,8.47E-17,0.001396502,0.001499138,8182,6065,6394,5334,6437,6098,4038,5629
MDN1,0.116085775,7.910747441,69.27480382,8.57E-17,0.001474608,0.001656348,7127,5156,4779,4483,6559,5782,4276,4877
F2RL2,-0.451226822,3.978012816,69.25953886,8.63E-17,0.004535331,0.004610834,584,662,250,217,345,482,138,219
RIF1,0.100528011,8.329951366,69.02473819,9.72E-17,0.001262013,0.001693577,8340,7126,6584,6649,8196,7544,5597,7156
CSDA,-0.123854918,7.715620482,68.59908353,1.21E-16,0.001566088,0.001457975,6041,5135,4936,4208,4520,5065,3242,4457
TADA3,0.125215149,7.686953191,68.45046766,1.30E-16,0.001578927,0.001848276,5089,4142,4762,4194,4695,5240,3513,4923
