Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
MYC,0.30375333,5.888918741,95.20956763,1.71E-22,0.003191235,0.005984208,1987,796,1141,1119,2183,1301,1242
TROAP,0.26021364,6.408012556,94.95959668,1.94E-22,0.00310847,0.003111655,1987,1748,1962,1630,2184,2336,1831
TADA3,0.166313953,7.680658389,93.91087995,3.30E-22,0.00246223,0.002430409,5089,4142,4762,4194,5274,5128,4477
COL5A3,0.527601418,4.223882637,93.07615063,5.03E-22,0.004998691,0.004427794,745,188,339,240,992,317,339
USP11,-0.131864675,8.320836785,92.65509074,6.23E-22,0.001922492,0.001786931,9020,7724,7330,6625,7504,7521,6040
GALNT1,-0.139364905,8.128674766,92.45936107,6.87E-22,0.002089077,0.002070938,8507,6877,6001,5570,7845,5904,5002
H1F0,-0.127093221,8.426876983,92.2106189,7.79E-22,0.001830438,0.001916417,10810,6847,8460,7378,9341,6873,6356
PTPN23,0.179652669,7.371018987,91.74337165,9.87E-22,0.002691727,0.003691178,4770,3467,3254,2956,4505,4527,3477
GLO1,-0.105403284,8.959750783,91.67256545,1.02E-21,0.001382376,0.001198841,14156,10919,11829,10809,12780,10164,9952
AGFG1,-0.170880549,7.515151559,90.37248039,1.97E-21,0.002588884,0.003359152,5609,4649,4008,3514,4965,3654,3440
REST,-0.133977001,8.181728573,90.32338451,2.02E-21,0.002043228,0.002920075,8610,7474,5358,6019,8226,5998,5638
KIF18B,0.187362257,7.272240152,90.07132147,2.30E-21,0.002757447,0.003005719,3858,3051,3503,3162,3923,3958,3446
RAPGEF1,0.139650207,8.085724942,90.05930709,2.31E-21,0.002126052,0.002406328,7704,5467,5726,5274,7692,6799,5545
CCDC90B,-0.213346109,6.857469648,90.02855359,2.35E-21,0.002980362,0.003469231,3667,3087,2420,2177,3085,2404,2106
CDCA8,0.212454683,6.931724541,89.86624127,2.55E-21,0.002947593,0.002532259,3007,2388,3103,2355,3321,2961,2580
RAD23A,0.202664739,7.040968993,89.51410162,3.04E-21,0.002893376,0.002806354,3301,2699,3081,2509,3397,3447,2828
KDM3A,-0.210303042,6.909622272,89.4691974,3.11E-21,0.002957703,0.002780154,3384,3162,2558,2571,2929,2546,2307
PLK1,0.163253575,7.643394292,87.42318808,8.76E-21,0.002491445,0.002331203,5349,3766,5030,3880,5482,4598,4268
MCM6,0.12700183,8.332106362,87.2246479,9.69E-21,0.0019127,0.001765659,8203,6358,6901,7130,8992,6894,7479
SF3A2,0.148394449,7.879087731,86.72040063,1.25E-20,0.002301101,0.003184601,5988,4532,5089,5150,5984,5907,5260
IREB2,-0.123536809,8.362868804,85.74923454,2.04E-20,0.001885976,0.002268832,9803,8453,6847,6333,9019,7091,6150
GSK3B,-0.1004679,8.946868181,85.4766016,2.34E-20,0.001392716,0.001503859,15504,11757,10111,9521,13956,10452,9394
ARHGEF17,0.127507934,8.262550431,85.3401447,2.51E-20,0.001973132,0.00402204,9227,5820,6401,6014,8806,7901,5965
AASDHPPT,-0.154285594,7.715911599,84.82616912,3.26E-20,0.002434257,0.003074538,6502,5066,4617,4205,6069,4025,3865
MMAB,0.224371015,6.680775093,84.50110785,3.84E-20,0.003044024,0.00332403,2436,1869,2469,2200,2671,2495,2338
TGOLN2,0.100087986,8.934034976,84.43259276,3.98E-20,0.001403047,0.001198892,13766,11493,9625,8865,14195,12385,9501
STK11IP,0.296165628,5.822008291,83.69741761,5.77E-20,0.003204666,0.003040673,1482,1132,1194,994,1623,1477,1271
INA,0.182559301,7.245061721,83.36208808,6.83E-20,0.002774779,0.002277888,3628,3094,3500,3111,3803,3621,3601
SLC25A1,0.166269735,7.506645158,83.31953096,6.98E-20,0.002595162,0.004727781,5007,3344,4402,3575,4963,4689,3546
FLJ22184,0.284820714,5.94639945,82.64094279,9.84E-20,0.003180858,0.006785345,1425,1191,1354,1245,1355,1866,1435
SLC35F1,0.134379106,8.038308429,81.99941947,1.36E-19,0.002166683,0.002480636,8514,4837,5321,4842,8291,6013,5338
ACD,0.300350308,5.778206452,81.50947097,1.74E-19,0.003214411,0.003984389,1319,1035,1265,1055,1383,1482,1283
GATAD2A,0.105386929,8.779699295,81.26048566,1.98E-19,0.001529578,0.001726304,11519,8750,10093,9296,11822,10263,9296
MTUS1,-0.216857278,6.663579011,80.84371983,2.44E-19,0.003049159,0.002877881,2928,2817,2088,2019,2441,2285,1873
SYDE1,0.187825026,7.090175415,80.7837955,2.52E-19,0.002866754,0.005827004,3816,2294,2954,2884,3655,3424,3023
GTSE1,0.176761684,7.284123568,79.89568212,3.95E-19,0.002749764,0.002471233,3872,3142,3804,3061,3995,3846,3405
SUN2,0.169192809,7.338405876,79.58122469,4.63E-19,0.002713883,0.002396747,4624,3621,3286,2744,4746,4362,3079
STAG2,-0.109234538,8.600939034,78.95708146,6.35E-19,0.001680498,0.00196209,11688,9165,8133,7974,11003,7845,7487
TCOF1,0.12662304,8.191706526,78.28600808,8.92E-19,0.002034588,0.002767219,7913,5597,6629,6076,7776,7111,6208
RLIM,-0.143204391,7.813552162,78.23209712,9.16E-19,0.002355243,0.002304726,6758,5405,4816,4650,6166,4587,4254
TONSL,0.181961383,7.169441936,78.1495635,9.55E-19,0.002821176,0.003422513,3458,2704,3448,3120,3653,3562,3185
SCARF2,0.13245052,8.039469087,77.85076141,1.11E-18,0.002165691,0.002359199,7412,5096,5838,5267,7719,6182,5299
CENPV,0.204425648,6.8211849,77.48862621,1.33E-18,0.002995108,0.002920981,2842,2041,2772,2357,3129,2604,2495
WDR26,-0.120191587,8.294265649,77.41950598,1.38E-18,0.001945581,0.002207311,9685,7572,6580,6180,8870,6401,5976
FRZB,-0.215013852,6.632289046,77.37905509,1.41E-18,0.00305807,0.002852501,3231,2444,2216,1887,2492,2181,1750
PGRMC1,-0.130499932,8.087227131,76.83795082,1.86E-18,0.002124761,0.001990183,7222,6926,6354,5628,6664,6074,5108
ATF6,-0.17240292,7.213826742,76.10576799,2.69E-18,0.002794275,0.002817811,4723,4077,2981,2598,4096,3371,2506
POGZ,-0.116179705,8.370984084,75.56208904,3.54E-18,0.001878929,0.001582989,9534,8155,7098,6738,8466,7479,6298
E2F2,0.277554161,5.907245993,75.14399901,4.38E-18,0.003187822,0.003035633,1186,1142,1378,1379,1428,1471,1547
NEAT1,-0.203619905,6.712899734,74.86391679,5.04E-18,0.003033957,0.003359993,3333,2793,2055,1993,2499,2756,1707
ZNF624,-0.361344526,5.074803497,74.74311382,5.36E-18,0.003566589,0.003322816,1073,1017,697,629,838,742,509
ANKRD1,0.384020552,4.864109666,74.30827281,6.68E-18,0.00378863,0.005724909,970,452,596,430,1081,755,537
E2F8,0.391704861,4.813851101,73.49777081,1.01E-17,0.003853141,0.003261179,615,541,464,594,734,720,816
ATP6V1G1,-0.143847223,7.696848453,73.11588049,1.22E-17,0.002449422,0.002216379,6148,5344,4317,4077,5444,4632,3828
FKBP3,-0.147220804,7.696116412,72.73830669,1.48E-17,0.002450003,0.002122592,5659,4318,5392,4827,4924,4101,4165
RANGAP1,0.15817777,7.461906807,72.56740847,1.61E-17,0.002627766,0.002663642,4480,3432,4309,3594,4771,4217,3681
