Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
INTS6,6,0.83,1,12,0.67,2,NA,NA,0,19,0.89,3
INTS7,305,0.83,30,157,0.87,13,10,0.9,2,35,1.03,4
INTS8,10,0.6,2,7,0.43,1,NA,NA,0,NA,NA,0
INTS9,11,0.64,2,27,0.7,4,NA,NA,0,NA,NA,0
INTU,25,0.8,4,7,0.71,1,13,0.08,1,6,0.83,1
INVS,NA,NA,0,10,0.3,2,NA,NA,0,NA,NA,0
IP6K1,201,0.76,22,103,0.68,15,NA,NA,0,89,0.91,10
IP6K2,22,0.91,3,NA,NA,0,NA,NA,0,62,1.1,6
IPCEF1,NA,NA,0,NA,NA,0,6,1,1,NA,NA,0
IPMK,136,0.83,13,7,0.29,1,16,0.94,3,41,1.05,5
IPO11,157,0.78,15,47,0.79,5,20,1.15,4,91,1.1,12
IPO13,6,0.33,1,56,0.55,6,NA,NA,0,6,1,1
IPO4,43,0.86,4,184,0.79,22,NA,NA,0,NA,NA,0
IPO5,1755,0.81,68,534,0.8,35,21,1.19,3,339,1.01,22
IPO7,1010,0.9,39,183,0.85,14,88,1.09,9,252,1.02,15
IPO8,192,0.75,21,139,0.96,13,6,1.17,1,41,1.07,5
IPO9,169,0.79,20,185,0.77,22,NA,NA,0,33,0.94,3
IPP,31,0.74,5,11,0.73,2,NA,NA,0,NA,NA,0
IPPK,NA,NA,0,20,0.75,3,NA,NA,0,16,1.13,2
IQCB1,20,0.9,2,NA,NA,0,NA,NA,0,NA,NA,0
IQCC,14,0.64,2,22,0.5,3,NA,NA,0,8,1,1
IQCE,NA,NA,0,15,0.87,2,NA,NA,0,NA,NA,0
IQCH,26,0.69,3,NA,NA,0,NA,NA,0,NA,NA,0
IQCJ-SCHIP1,NA,NA,0,14,0.79,2,NA,NA,0,17,1.24,2
IQGAP1,169,0.78,18,119,0.77,13,NA,NA,0,46,1.02,5
IQGAP2,5,0.8,1,67,0.81,9,NA,NA,0,11,0.91,2
IQGAP3,8,1,1,46,0.76,6,NA,NA,0,7,1,1
IQSEC1,41,0.8,5,279,0.66,24,NA,NA,0,16,0.88,3
IQSEC2,5,1,1,41,0.85,5,NA,NA,0,NA,NA,0
IQSEC3,6,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
IQUB,24,0.67,2,NA,NA,0,NA,NA,0,6,1,1
IRAK1,299,0.67,26,436,0.77,26,NA,NA,0,133,0.94,10
IREB2,434,0.75,38,133,0.87,14,31,0.97,6,153,1.05,13
IRF1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
IRF2,5,1,1,30,1,2,NA,NA,0,NA,NA,0
IRF2BP1,105,0.82,8,226,0.82,18,NA,NA,0,18,0.89,2
IRF2BP2,1117,0.84,51,355,0.87,18,14,1,2,626,0.96,33
IRF2BPL,12,0.58,2,104,0.87,9,NA,NA,0,NA,NA,0
IRF3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
IRF5,NA,NA,0,10,1,1,NA,NA,0,6,0.83,1
IRF6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
IRF8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
IRF9,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
IRGQ,712,0.82,43,465,0.83,38,12,1,4,67,0.94,8
IRS1,16,0.69,3,53,0.75,8,NA,NA,0,NA,NA,0
IRS2,1066,0.89,51,533,0.87,42,6,1,1,600,0.92,44
IRS4,9713,0.91,14,8266,0.89,42,11,1.09,3,149,0.95,13
IRX3,NA,NA,0,29,0.79,4,NA,NA,0,NA,NA,0
IRX4,NA,NA,0,NA,NA,0,5,1,1,NA,NA,0
IRX5,NA,NA,0,6,0.33,1,NA,NA,0,NA,NA,0
ISCA1,28,0.64,3,NA,NA,0,NA,NA,0,NA,NA,0
ISCA2,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
ISCU,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
ISG20L2,38,0.92,5,33,0.94,4,NA,NA,0,5,1,1
ISL2,27,0.7,3,NA,NA,0,NA,NA,0,5,1,1
ISM1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ISOC1,23,0.61,4,29,1,4,NA,NA,0,34,1,6
ISOC2,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
ISY1,NA,NA,0,8,1,1,NA,NA,0,NA,NA,0
ISYNA1,50,0.52,7,66,0.88,7,NA,NA,0,17,0.94,1
ITCH,522,0.82,43,180,0.8,16,33,0.97,7,113,1.08,11
ITFG1,8,0.75,1,12,0.5,1,NA,NA,0,NA,NA,0
ITFG3,NA,NA,0,24,0.63,3,NA,NA,0,NA,NA,0
ITGA1,117,0.76,12,21,0.67,3,NA,NA,0,6,1,1
ITGA2,13,0.54,2,33,0.73,4,6,0.17,1,8,0.25,1
ITGA4,29,0.66,4,NA,NA,0,NA,NA,0,NA,NA,0
ITGA5,5,1,1,24,0.96,4,NA,NA,0,NA,NA,0
ITGA6,13,0.46,2,7,0.43,1,NA,NA,0,NA,NA,0
ITGA8,5,0.6,1,NA,NA,0,NA,NA,0,5,0.8,1
ITGAV,10,0.4,2,NA,NA,0,NA,NA,0,NA,NA,0
ITGB1,336,0.86,21,29,0.69,4,9,1.11,1,29,0.9,3
ITGB1BP1,22,0.68,3,18,0.61,1,NA,NA,0,NA,NA,0
ITGB2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ITGB3BP,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
ITGB5,NA,NA,0,13,1.15,2,NA,NA,0,NA,NA,0
ITK,NA,NA,0,NA,NA,0,NA,NA,0,6,1,1
ITM2B,NA,NA,0,18,1,2,NA,NA,0,8,1.25,1
ITM2C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ITPA,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
ITPK1,62,0.87,5,102,0.68,12,NA,NA,0,44,0.95,6
ITPKA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
ITPKB,68,0.85,10,206,0.84,21,NA,NA,0,41,0.98,6
ITPKC,36,0.78,5,29,0.86,3,NA,NA,0,6,0.83,1
ITPR1,29,0.52,4,150,0.85,17,9,1,1,NA,NA,0
ITPR2,97,0.93,11,494,1.82,12,NA,NA,0,NA,NA,0
ITPR3,319,0.73,34,683,0.78,64,NA,NA,0,12,0.92,2
ITPRIP,43,0.81,6,NA,NA,0,NA,NA,0,8,1,1
ITPRIPL2,49,0.76,6,116,0.74,13,NA,NA,0,17,1.12,3
ITSN1,7,0.71,1,37,0.62,4,NA,NA,0,5,1,1
ITSN2,52,0.77,7,77,0.79,8,5,0.2,1,7,1.14,1
IVD,NA,NA,0,11,0.18,1,NA,NA,0,NA,NA,0
IVNS1ABP,321,0.81,26,173,0.9,16,NA,NA,0,24,0.96,4
IWS1,62,0.66,8,24,0.58,4,NA,NA,0,11,0.91,2
IZUMO1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
J01415.25,14,0.36,2,49,0.76,2,NA,NA,0,NA,NA,0
JAG1,84,0.62,10,26,0.81,3,NA,NA,0,NA,NA,0
JAG2,39,0.59,6,69,0.58,9,NA,NA,0,10,0.6,2
JAGN1,NA,NA,0,45,0.91,3,NA,NA,0,NA,NA,0
JAK1,275,0.71,30,124,0.71,12,6,0.33,1,47,1.06,5
JAK2,NA,NA,0,26,0.35,2,NA,NA,0,NA,NA,0
JAKMIP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
JAKMIP2,42,0.83,4,72,0.85,7,NA,NA,0,NA,NA,0
JAM3,54,0.76,6,NA,NA,0,NA,NA,0,27,1.04,2
JARID2,91,0.79,11,269,0.82,24,NA,NA,0,36,0.86,4
JAZF1,7,0.43,1,5,1,1,NA,NA,0,NA,NA,0
JDP2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
JHDM1D,334,0.82,33,63,0.94,10,27,1,7,26,1.08,4
JKAMP,6,1.17,1,NA,NA,0,NA,NA,0,NA,NA,0
JMJD1C,429,0.76,44,178,0.68,21,72,0.96,7,227,0.99,20
JMJD4,6,0.67,1,7,1,1,NA,NA,0,NA,NA,0
JMJD5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
JMJD6,40,0.75,6,15,1.07,2,NA,NA,0,6,1.17,1
JMJD8,NA,NA,0,6,0.33,1,NA,NA,0,NA,NA,0
JMY,2147,0.87,102,462,0.81,34,111,0.95,16,304,1.07,29
JOSD1,129,0.79,15,30,0.83,4,NA,NA,0,NA,NA,0
JPH1,642,0.84,40,153,0.78,15,11,1,2,114,0.95,13
JPH3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
JRKL,16,0.44,3,5,1,1,NA,NA,0,NA,NA,0
JTB,40,0.58,5,72,0.85,5,NA,NA,0,10,1.1,1
JUB,10,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
JUN,616,0.8,31,465,0.78,28,10,1,2,262,0.87,14
JUNB,NA,NA,0,8,1,1,NA,NA,0,NA,NA,0
JUND,45,0.69,6,51,0.73,5,NA,NA,0,20,0.9,3
JUP,NA,NA,0,44,0.89,6,NA,NA,0,6,1,1
KAL1,77,0.91,5,41,0.93,4,NA,NA,0,5,1,1
KALRN,NA,NA,0,5,2,1,NA,NA,0,NA,NA,0
KANK1,53,0.6,7,69,0.81,7,NA,NA,0,NA,NA,0
KANK2,16,0.69,3,77,0.96,8,NA,NA,0,NA,NA,0
KANK3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KANK4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KARS,197,0.77,17,130,0.81,5,25,1.04,3,46,1.09,3
KAT2A,67,0.66,9,89,0.73,8,NA,NA,0,16,0.88,3
KAT2B,18,0.39,3,12,0.67,2,NA,NA,0,7,1.14,1
KAT5,57,0.65,6,13,1,2,NA,NA,0,10,0.4,2
KAT6A,2349,0.86,91,2148,0.87,77,50,0.92,4,437,0.95,33
KAT6B,258,0.79,26,327,0.77,31,5,1,1,39,0.92,5
KAT7,136,0.71,16,61,0.67,7,NA,NA,0,17,0.94,2
KAT8,21,0.76,2,25,0.68,4,NA,NA,0,NA,NA,0
KATNA1,24,0.71,3,6,1,1,NA,NA,0,NA,NA,0
KATNAL1,530,0.81,43,60,0.73,8,34,0.91,6,206,0.98,20
KATNB1,NA,NA,0,65,0.91,8,NA,NA,0,NA,NA,0
KAZALD1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KAZN,NA,NA,0,41,0.51,3,NA,NA,0,NA,NA,0
KBTBD11,122,0.78,14,72,0.79,11,NA,NA,0,32,1.09,5
KBTBD2,642,0.83,37,74,0.72,8,5,1,1,79,1.01,8
KBTBD4,44,0.7,6,17,1,2,NA,NA,0,NA,NA,0
KBTBD5,NA,NA,0,28,2,1,NA,NA,0,NA,NA,0
KBTBD6,692,0.87,46,194,0.73,11,30,1.1,3,283,1.08,15
KBTBD7,71,0.77,8,19,0.74,3,NA,NA,0,13,1.08,2
KBTBD8,281,0.8,23,22,1.23,3,NA,NA,0,38,1.18,4
KCMF1,34,0.82,4,10,0.7,1,NA,NA,0,12,1,2
KCNAB2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNB1,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
KCNB2,NA,NA,0,NA,NA,0,NA,NA,0,8,0.13,1
KCNC2,NA,NA,0,NA,NA,0,20,0.05,1,NA,NA,0
KCNC4,7,0.57,1,20,0.9,3,NA,NA,0,NA,NA,0
KCND3,NA,NA,0,187,1.08,1,NA,NA,0,NA,NA,0
KCNG1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNG3,40,0.78,6,11,0.64,2,NA,NA,0,23,0.78,3
KCNH1,89,0.85,4,17,0.82,1,NA,NA,0,NA,NA,0
KCNH2,6,1,1,NA,NA,0,NA,NA,0,NA,NA,0
KCNH4,NA,NA,0,16,1.69,1,NA,NA,0,NA,NA,0
KCNH7,NA,NA,0,85,1,1,NA,NA,0,NA,NA,0
KCNIP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNIP3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNIP4,NA,NA,0,11,1,1,NA,NA,0,NA,NA,0
KCNJ11,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
KCNJ12,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNJ14,95,0.84,11,10,0.5,2,NA,NA,0,36,0.92,5
KCNJ8,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
KCNK1,NA,NA,0,17,0.76,3,NA,NA,0,NA,NA,0
KCNK5,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNK9,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
KCNMA1,NA,NA,0,6,0.67,1,NA,NA,0,NA,NA,0
KCNMB2,NA,NA,0,65,2,1,NA,NA,0,NA,NA,0
KCNMB4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNQ3,NA,NA,0,NA,NA,0,NA,NA,0,6,0.17,1
KCNQ4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCNQ5,15,0.93,2,6,0.83,1,NA,NA,0,11,1.27,1
KCNRG,21,0.62,3,9,0.67,1,NA,NA,0,NA,NA,0
KCNS3,15,0.8,2,5,0.4,1,NA,NA,0,5,0.8,1
KCTD1,273,0.79,27,111,0.86,13,NA,NA,0,59,0.98,8
KCTD10,326,0.79,26,141,0.79,16,11,1,2,88,0.97,10
KCTD12,3330,0.91,66,319,0.77,26,14,1.07,2,119,1.13,12
KCTD13,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCTD14,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCTD15,677,0.83,36,408,0.74,28,NA,NA,0,67,0.97,9
KCTD16,NA,NA,0,18,0.94,1,48,1,2,NA,NA,0
KCTD18,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KCTD2,106,0.68,14,59,0.78,7,NA,NA,0,5,0.4,1
KCTD20,1221,0.82,57,591,0.86,22,33,0.82,6,70,0.94,6
KCTD3,286,0.79,24,110,0.8,10,9,1.44,1,60,0.93,8
KCTD5,12,0.25,1,31,0.97,5,NA,NA,0,5,0.6,1
KCTD6,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
KCTD7,6,0.83,1,NA,NA,0,NA,NA,0,NA,NA,0
KCTD9,5,0.4,1,NA,NA,0,NA,NA,0,NA,NA,0
KDELC2,52,0.69,7,20,0.6,3,NA,NA,0,18,0.94,3
KDELR1,6,1.17,1,20,0.5,2,7,0.14,1,18,0.11,1
KDELR2,230,0.73,24,49,0.65,3,NA,NA,0,14,0.64,2
KDM1A,220,0.84,18,219,0.82,15,NA,NA,0,17,1.06,3
KDM1B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KDM2A,350,0.82,29,344,0.79,29,NA,NA,0,29,0.79,4
KDM2B,129,0.77,12,265,0.8,25,NA,NA,0,23,0.83,3
KDM3A,83,0.73,8,132,0.81,8,5,1,2,47,1.04,5
KDM3B,814,0.85,50,876,0.84,56,26,1.12,5,157,1,14
KDM4A,244,0.76,25,179,0.72,17,NA,NA,0,34,0.94,5
KDM4B,7,0.14,1,97,0.9,14,NA,NA,0,8,1.13,1
KDM4D,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KDM5A,1339,0.79,101,883,0.77,64,5,0.8,1,258,0.98,23
KDM5B,602,0.8,45,387,0.82,29,5,0.8,1,138,1.02,15
KDM5C,1502,0.81,79,1634,0.85,75,30,1.07,7,447,0.96,37
KDM6A,10,0.8,1,34,0.91,5,NA,NA,0,19,0.95,2
KDM6B,5,0.8,1,63,0.94,7,NA,NA,0,NA,NA,0
KDSR,324,0.82,28,92,0.79,10,5,1,2,32,1.03,5
KEAP1,19,0.63,3,70,0.74,7,NA,NA,0,12,0.92,2
KEL,NA,NA,0,8,1,1,NA,NA,0,NA,NA,0
KHDRBS1,121,0.75,7,38,0.61,6,NA,NA,0,16,1,2
KHDRBS3,6,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
KHK,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KHNYN,296,0.81,26,135,0.87,15,NA,NA,0,44,1,5
KHSRP,488,0.84,22,440,0.8,21,26,1.15,1,328,0.97,18
KIAA0020,23,0.91,3,NA,NA,0,NA,NA,0,5,1.2,1
KIAA0090,165,0.71,18,51,0.76,7,NA,NA,0,35,1.03,4
KIAA0100,1595,0.8,78,2661,0.85,86,10,1.1,1,237,0.89,23
KIAA0101,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA0146,20,0.7,3,23,0.61,4,NA,NA,0,5,0.8,1
KIAA0174,96,0.85,10,36,1,4,NA,NA,0,7,1.14,1
KIAA0195,NA,NA,0,43,0.74,6,NA,NA,0,NA,NA,0
KIAA0196,NA,NA,0,31,0.65,5,NA,NA,0,NA,NA,0
KIAA0226,9,0.89,1,22,0.73,3,NA,NA,0,NA,NA,0
KIAA0232,722,0.83,53,460,0.83,30,18,1.28,2,176,1.13,16
KIAA0240,5,0.6,1,5,0.8,1,NA,NA,0,NA,NA,0
KIAA0247,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA0284,21,0.33,3,148,0.85,17,NA,NA,0,13,1,1
KIAA0317,305,0.77,35,220,0.74,23,NA,NA,0,36,1.03,5
KIAA0319L,40,0.75,5,61,1.05,9,NA,NA,0,6,1,1
KIAA0355,309,0.79,28,511,0.79,41,NA,NA,0,132,0.93,16
KIAA0368,138,0.72,15,171,0.78,15,NA,NA,0,22,0.82,3
KIAA0391,45,0.73,6,NA,NA,0,NA,NA,0,NA,NA,0
KIAA0415,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA0430,131,0.74,16,132,0.8,14,NA,NA,0,35,1,5
KIAA0494,598,0.78,48,189,0.77,14,21,1.14,3,10,0.8,2
KIAA0528,17,0.71,3,24,0.92,3,NA,NA,0,22,0.91,3
KIAA0556,18,0.78,2,103,0.67,11,NA,NA,0,18,0.94,2
KIAA0564,13,0.77,2,10,1.2,2,NA,NA,0,15,1,2
KIAA0586,6,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
KIAA0649,102,0.74,10,156,0.85,15,NA,NA,0,13,1,2
KIAA0664,359,0.8,33,740,0.82,43,NA,NA,0,113,0.92,13
KIAA0753,6,0.67,1,5,1,1,NA,NA,0,8,1,1
KIAA0776,19,0.58,3,24,0.83,4,NA,NA,0,7,0.86,1
KIAA0889,333,0.73,37,572,0.85,49,NA,NA,0,78,0.97,8
KIAA0895,216,0.66,23,31,0.74,4,5,1,1,37,0.95,5
KIAA0895L,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA0907,171,0.78,15,79,0.84,7,NA,NA,0,159,1.09,7
KIAA0913,28,0.57,5,72,0.69,9,NA,NA,0,11,1,2
KIAA0922,5,1.4,1,9,0.89,1,NA,NA,0,5,0.4,1
KIAA0930,57,0.82,7,112,0.87,14,NA,NA,0,27,1,2
KIAA1024,6,0.83,1,12,0.83,2,NA,NA,0,NA,NA,0
KIAA1107,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA1109,126,0.72,17,74,0.86,12,NA,NA,0,5,1,1
KIAA1147,1326,0.83,65,628,0.79,50,5,1.4,1,31,1.03,4
KIAA1161,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA1191,103,0.71,9,15,0.53,3,7,0.29,2,29,1.14,3
KIAA1199,NA,NA,0,NA,NA,0,NA,NA,0,35,0.09,1
KIAA1211,24,0.75,4,36,0.53,6,NA,NA,0,NA,NA,0
KIAA1217,NA,NA,0,32,0.81,5,NA,NA,0,NA,NA,0
KIAA1244,464,0.73,53,630,0.81,56,7,0.71,1,41,1,5
KIAA1267,368,0.83,30,369,0.78,32,5,1.4,2,71,0.96,7
KIAA1274,23,0.87,4,182,1.13,9,NA,NA,0,23,1.04,3
KIAA1279,175,0.7,16,110,0.86,5,NA,NA,0,61,1.08,5
KIAA1310,123,0.74,15,175,0.82,21,NA,NA,0,31,0.84,5
KIAA1324L,5,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
KIAA1328,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
KIAA1370,59,0.9,7,13,1.08,2,14,1.07,3,28,0.86,2
KIAA1407,NA,NA,0,30,2,1,NA,NA,0,NA,NA,0
KIAA1429,1443,0.82,69,442,0.82,35,53,0.94,8,150,1.04,14
KIAA1432,203,0.78,18,155,0.76,16,10,1.1,1,35,0.91,5
KIAA1462,459,0.78,49,443,0.85,33,11,0.27,1,19,0.95,2
KIAA1467,11,0.73,2,30,1.6,2,NA,NA,0,NA,NA,0
KIAA1468,21,1.05,3,11,1,2,NA,NA,0,21,0.95,3
KIAA1522,13,0.77,2,74,0.76,11,NA,NA,0,32,1.13,2
KIAA1524,45,0.87,6,12,0.75,2,8,1,2,11,1.18,2
KIAA1530,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA1539,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIAA1543,13,0.69,2,49,0.69,6,NA,NA,0,15,1,2
KIAA1549,10,1,2,16,0.94,3,NA,NA,0,NA,NA,0
KIAA1586,111,0.75,11,NA,NA,0,25,1.04,3,23,1,2
KIAA1598,NA,NA,0,13,0.92,2,NA,NA,0,NA,NA,0
KIAA1609,NA,NA,0,11,0.82,2,NA,NA,0,NA,NA,0
KIAA1671,693,0.8,57,732,0.83,57,NA,NA,0,26,0.92,4
KIAA1704,12,0.83,2,NA,NA,0,NA,NA,0,NA,NA,0
KIAA1715,133,0.72,13,24,0.79,3,15,0.87,2,6,1.17,1
KIAA1731,125,0.62,4,6,0.17,1,NA,NA,0,42,0.81,4
KIAA1737,92,0.79,10,22,0.68,4,NA,NA,0,NA,NA,0
KIAA1797,NA,NA,0,34,0.91,4,NA,NA,0,NA,NA,0
KIAA1826,165,0.78,16,23,0.83,3,13,1.15,2,35,1,3
KIAA1919,254,0.76,23,41,0.76,2,7,1,1,47,0.85,4
KIAA1949,NA,NA,0,21,0.76,4,NA,NA,0,NA,NA,0
KIAA1958,529,0.75,59,117,0.77,17,NA,NA,0,9,0.89,1
KIAA1967,390,0.81,27,548,0.79,44,NA,NA,0,93,0.83,12
KIAA2013,6,0.5,1,44,0.7,6,NA,NA,0,7,1.14,1
KIAA2018,91,0.78,13,125,0.8,13,NA,NA,0,NA,NA,0
KIAA2022,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
KIAA2026,32,0.78,3,6,1,1,NA,NA,0,NA,NA,0
KIDINS220,239,0.7,26,212,0.74,17,31,0.97,5,48,0.85,6
KIF11,165,0.82,17,20,0.7,3,24,1.04,5,129,1.01,11
KIF13A,119,0.79,15,123,0.82,11,NA,NA,0,13,0.77,2
KIF13B,6,0.67,1,38,0.95,6,NA,NA,0,NA,NA,0
KIF14,70,0.71,7,17,0.76,3,7,0.86,1,22,0.95,3
KIF15,NA,NA,0,NA,NA,0,6,0.67,2,NA,NA,0
KIF16B,8,0.38,1,34,0.79,4,NA,NA,0,NA,NA,0
KIF17,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIF18A,91,0.85,9,6,1,1,16,0.81,3,37,1.14,4
KIF18B,44,0.59,6,93,0.86,13,NA,NA,0,6,0.83,1
KIF1A,274,0.76,29,931,0.77,74,6,1,1,151,0.85,19
KIF1B,1185,0.79,90,526,0.8,43,15,0.87,5,185,1.05,17
KIF1C,367,0.78,25,668,0.83,36,NA,NA,0,14,0.79,2
KIF20A,234,0.81,21,64,0.75,7,5,1,2,29,1,3
KIF20B,136,0.79,15,54,0.78,5,5,1.2,2,77,1.1,7
KIF21A,190,0.71,23,50,0.86,6,NA,NA,0,18,1.11,3
KIF21B,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
KIF22,79,0.8,9,202,0.78,19,NA,NA,0,71,1.04,7
KIF23,962,0.87,48,224,0.83,17,31,1.26,4,107,0.99,9
KIF24,13,0.92,2,54,0.91,7,NA,NA,0,18,1,3
KIF26A,29,0.66,5,281,0.81,28,NA,NA,0,NA,NA,0
KIF26B,NA,NA,0,13,0.77,2,NA,NA,0,NA,NA,0
KIF2A,213,0.72,16,86,0.92,5,NA,NA,0,37,0.95,5
KIF2C,257,0.79,21,99,0.85,9,6,1,2,74,0.81,9
KIF3A,290,0.8,23,28,0.79,5,9,0.89,1,97,1.06,11
KIF3B,625,0.83,40,304,0.81,27,18,0.89,3,145,1.01,12
KIF3C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KIF4A,247,0.77,20,64,0.84,7,NA,NA,0,55,0.87,7
KIF4B,19,0.63,3,NA,NA,0,NA,NA,0,6,1,1
KIF5A,5,0.8,1,NA,NA,0,NA,NA,0,NA,NA,0
KIF5B,1623,0.87,67,342,0.82,20,76,1.05,11,623,0.92,35
KIF5C,186,0.64,23,84,0.76,11,NA,NA,0,37,0.95,5
KIF6,NA,NA,0,10,1,1,NA,NA,0,NA,NA,0
KIF7,22,0.86,2,24,0.71,4,NA,NA,0,NA,NA,0
KIFAP3,78,0.69,7,31,1,5,NA,NA,0,5,1,1
KIFC1,115,0.85,12,164,0.84,14,NA,NA,0,6,0.5,1
KIFC3,NA,NA,0,14,0.71,2,NA,NA,0,NA,NA,0
KIN,NA,NA,0,7,2,1,NA,NA,0,NA,NA,0
KIRREL,17,0.41,3,11,0.82,2,NA,NA,0,NA,NA,0
KIT,13,1,2,16,0.81,2,NA,NA,0,NA,NA,0
KITLG,119,0.78,10,9,0.89,1,6,1.33,1,NA,NA,0
KLC1,86,0.77,11,126,0.83,13,NA,NA,0,60,0.82,6
KLC2,30,0.9,2,13,0.92,1,NA,NA,0,NA,NA,0
KLC3,78,0.03,1,NA,NA,0,NA,NA,0,NA,NA,0
KLC4,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
KLF10,113,0.81,13,5,1,1,NA,NA,0,27,1.19,4
KLF11,812,0.84,46,66,0.8,9,16,0.88,2,123,1,14
KLF12,954,0.8,74,200,0.92,19,44,1.11,9,158,1.08,18
KLF13,NA,NA,0,NA,NA,0,NA,NA,0,7,1.29,1
KLF14,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KLF16,5,0.6,1,64,0.8,6,NA,NA,0,16,0.75,3
KLF3,152,0.8,15,18,1.06,2,11,0.91,1,NA,NA,0
KLF4,13,0.54,2,6,1,1,NA,NA,0,7,0.71,1
KLF5,NA,NA,0,NA,NA,0,NA,NA,0,8,1.25,1
KLF6,95,0.74,10,30,0.77,3,NA,NA,0,19,0.95,3
KLF9,812,0.88,41,180,0.82,13,58,1,7,50,0.9,6
KLHDC10,1513,0.88,47,433,0.83,27,71,0.96,9,241,0.97,15
KLHDC2,7,0.71,1,NA,NA,0,NA,NA,0,NA,NA,0
KLHDC3,358,0.84,17,254,0.83,14,5,0.8,1,137,0.88,10
KLHDC4,5,0.8,1,NA,NA,0,NA,NA,0,NA,NA,0
KLHDC5,946,0.85,59,330,0.75,29,40,0.98,6,105,0.99,10
KLHDC8B,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
KLHDC9,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
