Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
AES,12,0.58,2,29,0.69,3,NA,NA,0,11,0.91,2
AFAP1,NA,NA,0,NA,NA,0,NA,NA,0,8,1.13,1
AFAP1L1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AFF1,176,0.78,19,160,0.84,15,NA,NA,0,15,0.87,2
AFF2,166,0.73,22,29,0.62,5,NA,NA,0,6,0.67,1
AFF3,114,0.69,12,269,0.82,16,NA,NA,0,27,0.74,3
AFF4,2882,0.86,94,736,0.81,55,59,0.93,11,584,1.03,45
AFG3L2,47,0.74,6,82,0.8,8,NA,NA,0,51,0.96,1
AFMID,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AFTPH,459,0.89,33,54,0.69,5,31,0.65,8,66,0.92,7
AGAP1,147,0.7,13,102,0.84,16,NA,NA,0,12,0.92,2
AGAP2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AGAP3,75,0.72,11,97,0.75,13,NA,NA,0,5,1,1
AGAP6,5,0.8,1,NA,NA,0,NA,NA,0,NA,NA,0
AGBL1,NA,NA,0,NA,NA,0,27,0.04,1,29,0.03,1
AGBL3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AGBL4,NA,NA,0,NA,NA,0,6,0.67,2,NA,NA,0
AGBL5,31,0.65,4,10,0.8,1,NA,NA,0,NA,NA,0
AGFG1,135,0.75,16,92,0.88,8,NA,NA,0,42,1,5
AGGF1,431,0.81,33,72,0.71,9,25,1.2,2,141,1.15,7
AGK,19,0.79,3,5,1,1,NA,NA,0,NA,NA,0
AGL,10,0.6,2,6,1,1,NA,NA,0,14,1.07,2
AGMO,NA,NA,0,NA,NA,0,6,1,1,NA,NA,0
AGPAT1,NA,NA,0,23,0.91,3,NA,NA,0,NA,NA,0
AGPAT2,NA,NA,0,9,0.11,1,NA,NA,0,NA,NA,0
AGPAT3,199,0.8,19,129,0.64,15,NA,NA,0,5,0.6,1
AGPAT4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AGPAT5,1017,0.87,39,163,0.82,12,9,1.11,1,106,1.12,10
AGPAT6,243,0.81,22,173,0.84,17,7,1.14,1,42,0.69,6
AGPAT9,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AGPHD1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
AGPS,169,0.67,22,74,0.91,10,NA,NA,0,22,1.05,3
AGRN,6,0.67,1,42,0.69,6,NA,NA,0,5,1,1
AGTPBP1,117,0.72,15,35,0.97,5,NA,NA,0,5,0.6,1
AGTR1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
AGTRAP,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
AHCTF1,49,0.9,4,19,0.79,1,NA,NA,0,NA,NA,0
AHCY,11,0.73,1,29,0.48,5,NA,NA,0,NA,NA,0
AHCYL1,5,0.4,1,10,0.6,2,NA,NA,0,NA,NA,0
AHCYL2,17,0.59,3,12,0.92,2,NA,NA,0,5,0.6,1
AHDC1,21,0.62,4,42,0.57,6,NA,NA,0,7,0.86,1
AHI1,18,0.56,3,56,1.41,4,NA,NA,0,14,0.86,2
AHNAK,2909,0.78,179,978,0.77,78,NA,NA,0,34,1,3
AHNAK2,138,0.64,19,213,0.82,23,NA,NA,0,NA,NA,0
AHR,337,0.72,29,58,0.84,7,21,0.81,5,84,0.96,10
AHRR,17,0.59,2,NA,NA,0,NA,NA,0,NA,NA,0
AHSA1,65,0.85,4,30,0.63,5,NA,NA,0,26,0.88,2
