Gene symbol,mean(ASD) - mean(CTRL),p-value,q-value,Neurogenesis,SFARI
C17orf62,0.442200323,7.93E-04,0.014670794,FALSE,FALSE
C17orf68,0.452641661,5.05E-04,0.01164137,FALSE,FALSE
C17orf70,0.401781055,2.29E-03,0.025314551,FALSE,FALSE
C17orf76,0.368579022,5.26E-03,0.037865898,FALSE,FALSE
C18orf45,0.38285981,3.76E-03,0.03161541,FALSE,FALSE
C18orf55,-0.415391684,1.61E-03,0.020884872,FALSE,FALSE
C19orf30,0.50290319,1.35E-04,0.006326746,FALSE,FALSE
C19orf31,0.65546377,5.30E-07,0.000527075,FALSE,FALSE
C1GALT1C1,0.413154997,1.00E-04,0.005590696,FALSE,FALSE
C1orf100,0.35829525,6.68E-03,0.042409416,FALSE,FALSE
C1orf110,0.355801652,7.34E-03,0.04478523,FALSE,FALSE
C1orf116,0.351773237,7.79E-03,0.046210139,FALSE,FALSE
C1orf122,-0.383727366,3.59E-03,0.031093402,FALSE,FALSE
C1orf128,-0.529836979,5.45E-05,0.004127035,FALSE,FALSE
C1orf131,-0.39110317,2.99E-03,0.028209851,FALSE,FALSE
C1orf155,-0.360279845,6.34E-03,0.041357415,FALSE,FALSE
C1orf168,-0.36267944,6.04E-03,0.040435158,FALSE,FALSE
C1orf176,0.417950634,1.51E-03,0.020037057,FALSE,FALSE
C1orf38,0.347096152,8.56E-03,0.048563122,FALSE,FALSE
C1orf50,0.432428673,1.05E-03,0.01680008,FALSE,FALSE
C1orf57,-0.371608994,4.86E-03,0.036329017,FALSE,FALSE
C1orf63,0.406308027,2.02E-03,0.023671747,FALSE,FALSE
C1orf66,0.508745413,1.09E-04,0.005750206,FALSE,FALSE
C1orf69,0.433103081,1.01E-03,0.01654328,FALSE,FALSE
C1orf71,0.371840723,4.83E-03,0.036236788,FALSE,FALSE
C1orf96,-0.453396278,5.75E-04,0.012462816,FALSE,FALSE
C1QC,-0.400309457,2.40E-03,0.025835185,FALSE,FALSE
C1QDC2,0.436568529,9.35E-04,0.016048498,FALSE,FALSE
C1S,0.341297157,3.19E-03,0.029234231,FALSE,FALSE
C20orf116,-0.34778278,8.48E-03,0.048280953,FALSE,FALSE
C20orf141,0.491169756,1.89E-04,0.007290873,FALSE,FALSE
C20orf142,0.376938955,4.29E-03,0.033757344,FALSE,FALSE
C20orf30,-0.352389634,6.70E-03,0.04248974,FALSE,FALSE
C20orf46,0.39775192,2.63E-03,0.026383399,FALSE,FALSE
C20orf52,-0.349510026,8.15E-03,0.04726431,FALSE,FALSE
C20orf59,0.46445421,4.12E-04,0.010910124,FALSE,FALSE
C20orf94,0.36632647,5.49E-03,0.038743679,FALSE,FALSE
C20orf96,0.492287391,1.78E-04,0.007097846,FALSE,FALSE
C20orf98,0.470201385,3.52E-04,0.010176293,FALSE,FALSE
C21orf24,0.425751664,1.22E-03,0.017851467,FALSE,FALSE
C21orf66,0.304164794,3.45E-03,0.030337475,FALSE,FALSE
C21orf69,-0.543691427,3.48E-05,0.003171732,FALSE,FALSE
C22orf16,-0.351650892,7.80E-03,0.046272607,FALSE,FALSE
C22orf18,-0.505713495,1.16E-04,0.005820379,FALSE,FALSE
C22orf23,0.532263971,5.21E-05,0.004058625,FALSE,FALSE
C2orf10,-0.409358522,1.92E-03,0.022992313,FALSE,FALSE
C2orf28,-0.357273141,0.006192384,0.040765803,FALSE,FALSE
C3orf1,0.38490786,0.00354467,0.030816587,FALSE,FALSE
C3orf14,-0.463822942,0.000419752,0.010910124,FALSE,FALSE
C3orf21,-0.374474056,0.004683224,0.035563097,FALSE,FALSE
C3orf29,0.419057164,0.000931869,0.016048498,FALSE,FALSE
C3orf30,0.374516147,0.004886908,0.036378643,FALSE,FALSE
C3orf60,0.272330086,0.003039797,0.028527563,FALSE,FALSE
C3orf9,0.620802402,2.58E-06,0.001175613,FALSE,FALSE
C4orf15,0.356871543,0.006957924,0.043383154,FALSE,FALSE
C5orf28,0.45063385,0.000609361,0.012725132,FALSE,FALSE
C6orf107,-0.386213604,0.003425163,0.030334945,FALSE,FALSE
C6orf129,-0.47091216,0.00033839,0.009938634,FALSE,FALSE
C6orf130,-0.384832957,0.003502923,0.030661829,FALSE,FALSE
